,Metelectrona_ventralis,Electrona_paucirastra,Protomyctophum_choriodon,Protomyctophum_andriashevi,Protomyctophum_gemmatum,Protomyctophum_bolini,Protomyctophum_thompsoni,Protomyctophum_crockeri,Protomyctophum_arcticum,Protomyctophum_parallelum,Krefftichthys_anderssoni,Protomyctophum_tenisoni,Electrona_carlsbergi,Electrona_risso,Electrona_subaspera,Electrona_antarctica,Myctophum_brachygnathum,Myctophum_obtusirostre,Myctophum_orientale,Myctophum_selenops,Myctophum_asperum,Myctophum_lychnobium,Myctophum_spinosum,Centrobranchus_nigroocellatus,Centrobranchus_choerocephalus,Centrobranchus_cf._brevirostris,Gonichthys_cocco,Gonichthys_tenuiculus,Centrobranchus_andreae,Myctophum_phengodes,Loweina_rara,Tarletonbeania_crenularis,Symbolophorus_californiensis,Symbolophorus_reversus,Symbolophorus_rufinus,Symbolophorus_evermanni,Hygophum_hygomii,Hygophum_benoiti,Hygophum_hanseni,Hygophum_proximum,Hygophum_reinhardtii,Myctophum_nitidulum,Myctophum_affine,Myctophum_punctatum,Hygophum_atratum,Myctophum_aurolaternatum,Symbolophorus_veranyi,Symbolophorus_barnardi,Benthosema_glaciale,Benthosema_suborbitale,Diogenichthys_atlanticus,Diogenichthys_laternatus,Diogenichthys_sp.,Benthosema_pterotum,Benthosema_panamense,Benthosema_fibulatum,Lobianchia_gemellarii,Lobianchia_dofleini,Diaphus_dumerilii,Diaphus_chrysorhynchus,Diaphus_fragilis,Diaphus_bertelseni,Diaphus_thiollierei,Diaphus_perspicillatus,Diaphus_danae,Diaphus_antonbruuni,Diaphus_splendidus,Diaphus_phillipsi,Diaphus_effulgens,Diaphus_regani,Diaphus_malayanus,Diaphus_garmani,Diaphus_termophilus,Diaphus_suborbitalis,Diaphus_metopoclampus,Diaphus_schmidti,Diaphus_whitleyi,Diaphus_umbroculus,Diaphus_signatus,Diaphus_watasei,Diaphus_nielseni,Diaphus_adenomus,Diaphus_luetkeni,Diaphus_holti,Diaphus_rafinesquii,Diaphus_subtilis,Diaphus_hudsoni,Diaphus_gigas,Diaphus_kapalae,Diaphus_ostenfeldi,Diaphus_coeruleus,Diaphus_fulgens,Diaphus_aliciae,Diaphus_lobatus,Diaphus_brachycephalus,Diaphus_richardsoni,Diaphus_cf._mollis,Diaphus_mollis,Diaphus_parri,Diaphus_meadi,Diaphus_anderseni,Diaphus_theta,Scopelopsis_multipunctatus,Notoscopelus_caudispinosus,Notoscopelus_resplendens,Notoscopelus_bolini,Notoscopelus_elongatus_kroyeri,Lampanyctodes_hectoris,Lampichthys_procerus,Gymnoscopelus_piabilis,Gymnoscopelus_braueri,Gymnoscopelus_opisthopterus,Gymnoscopelus_fraseri,Gymnoscopelus_hintonoides,Gymnoscopelus_bolini,Gymnoscopelus_nicholsi,Lampadena_urophaos_urophaos,Lampadena_urophaos_atlantica,Lampadena_chavesi,Lampadena_yaquinae,Lampadena_anomala,Lampadena_luminosa,Taaningichthys_bathyphilus,Taaningichthys_minimus,Lampadena_speculigera,Lampadena_notialis,Stenobrachius_leucopsarus,Stenobrachius_nannochir,Triphoturus_mexicanus,Triphoturus_oculeum,Triphoturus_nigrescens,Parvilux_ingens,Lampanyctus_hubbsi,Lampanyctus_parvicauda,Lampanyctus_nobilis,Lampanyctus_vadulus,Lampanyctus_turneri,Lampanyctus_photonotus,Lampanyctus_crocodilus,Lampanyctus_macdonaldi,Nannobrachium_idostigma,Lampanyctus_festivus,Lampanyctus_tenuiformis,Nannobrachium_regale,Nannobrachium_ritteri,Lampanyctus_jordani,Nannobrachium_fernae,Nannobrachium_phyllisae,Lampanyctus_alatus,Nannobrachium_hawaiiensis,Nannobrachium_bristori,Lampanyctus_intricarius,Lampanyctus_pusillus,Lampanyctus_australis,Nannobrachium_atrum,Nannobrachium_achirus,Nannobrachium_cuprarium,Nannobrachium_lineatum,Bolinichthys_pyrsobolus,Bolinichthys_supralateralis,Bolinichthys_indicus,Bolinichthys_photothorax,Bolinichthys_longipes,Bolinichthys_distofax,Bolinichthys_nikolayi,Ceratoscopelus_warmingii,Ceratoscopelus_townsendi,Ceratoscopelus_maderensis,Lepidophanes_guentheri,Lepidophanes_gaussi,Notolychnus_valdiviae,Solivomer_arenidens,Scopelengys_tristis,Neoscopelus_macrolepidotus,Neoscopelus_microchir,Neoscopelus_porosus
Metelectrona_ventralis,NA,0.079738958,0.099680979,0.091073243,0.089911914,0.100340417,0.092682339,0.102279128,0.108467175,0.082662855,0.127035742,0.076761836,0.108101064,0.097816518,0.087307755,0.085725419,0.25564608,0.266613278,0.344412969,0.291474298,0.283111737,0.267850665,0.261388675,0.348920168,0.347174723,0.34652546,0.279897986,0.298603652,0.312864193,0.327718477,0.365197736,0.307579038,0.224904516,0.235531933,0.257098022,0.261729299,0.222122996,0.301010011,0.249889404,0.249721852,0.245297921,0.263351553,0.255479635,0.2912762,0.224676423,0.245461212,0.332331847,0.374402014,0.285467028,0.211411272,0.343656443,0.301827992,0.323307982,0.358517008,0.38132587,0.28599374,0.353231203,0.412576976,0.319382399,0.35044349,0.345030753,0.386537115,0.353905763,0.36495761,0.34832956,0.367937502,0.374622176,0.3411511,0.343638777,0.335303497,0.363946593,0.366070407,0.358092814,0.356873747,0.352950686,0.364761947,0.343038827,0.362833494,0.378870314,0.361048843,0.358967659,0.342853423,0.416863268,0.448412708,0.392281203,0.445758323,0.433250279,0.402924037,0.408209492,0.392897793,0.424312446,0.419872029,0.431554599,0.423570367,0.408467716,0.412920947,0.41426067,0.418514922,0.417168592,0.421751826,0.417922796,0.346923486,0.41218859,0.326920861,0.332931379,0.351189711,0.374508163,0.309517859,0.29981759,0.373699868,0.341777364,0.3375813,0.337966057,0.332032193,0.329138557,0.364725882,0.380415076,0.365543898,0.499984293,0.379342137,0.3861655,0.37897124,0.403649318,0.458298286,0.389740986,0.401822717,0.352682276,0.35169829,0.44713067,0.444711142,0.533775778,0.38319684,0.437260605,0.445560818,0.432136785,0.425556026,0.434863747,0.469819389,0.440839734,0.442834039,0.465811116,0.446542072,0.448201414,0.449250391,0.469163809,0.455704203,0.44828852,0.449414716,0.435533681,0.438625587,0.450623325,0.453298803,0.504780631,0.462689489,0.428898495,0.475538056,0.434262225,0.415292618,0.51593503,0.491771751,0.531534583,0.579386952,0.580810813,0.504444863,0.48065505,0.500714571,0.471875027,0.472541128,0.656509797,0.552766068,0.454779905,0.596769302,0.464060256,0.495496171,0.49457226,0.494390535
Electrona_paucirastra,0.079738958,NA,0.102711636,0.0941039,0.092942571,0.103371074,0.095712996,0.105309785,0.111497832,0.085693512,0.130066399,0.079792493,0.111131721,0.100847174,0.090338411,0.088756076,0.258676737,0.269643935,0.347443626,0.294504955,0.286142394,0.270881322,0.264419332,0.351950825,0.35020538,0.349556117,0.282928643,0.301634308,0.31589485,0.330749134,0.368228393,0.310609695,0.227935172,0.238562589,0.260128679,0.264759956,0.225153653,0.304040668,0.25292006,0.252752509,0.248328578,0.26638221,0.258510292,0.294306857,0.22770708,0.248491869,0.335362504,0.377432671,0.288497684,0.214441929,0.3466871,0.304858649,0.326338639,0.361547664,0.384356527,0.289024397,0.35626186,0.415607633,0.322413056,0.353474147,0.34806141,0.389567771,0.35693642,0.367988267,0.351360217,0.370968159,0.377652832,0.344181757,0.346669434,0.338334154,0.36697725,0.369101064,0.361123471,0.359904404,0.355981343,0.367792603,0.346069484,0.365864151,0.38190097,0.3640795,0.361998316,0.34588408,0.419893924,0.451443364,0.395311859,0.44878898,0.436280936,0.405954694,0.411240148,0.39592845,0.427343102,0.422902685,0.434585256,0.426601024,0.411498373,0.415951604,0.417291327,0.421545579,0.420199249,0.424782483,0.420953452,0.349954143,0.415219247,0.329951518,0.335962036,0.354220367,0.37753882,0.312548516,0.302848247,0.376730524,0.344808021,0.340611956,0.340996714,0.335062849,0.332169214,0.367756539,0.383445733,0.368574555,0.50301495,0.382372794,0.389196157,0.382001897,0.406679975,0.461328943,0.392771643,0.404853374,0.355712932,0.354728947,0.450161327,0.447741799,0.536806434,0.386227497,0.440291262,0.448591475,0.435167442,0.428586683,0.437894404,0.472850046,0.443870391,0.445864696,0.468841773,0.449572728,0.451232071,0.452281047,0.472194466,0.45873486,0.451319177,0.452445373,0.438564338,0.441656243,0.453653982,0.45632946,0.507811288,0.465720146,0.431929152,0.478568713,0.437292881,0.418323275,0.518965687,0.494802407,0.53456524,0.582417608,0.58384147,0.50747552,0.483685706,0.503745228,0.474905683,0.475571784,0.659540454,0.555796725,0.457810561,0.599799958,0.467090913,0.498526828,0.497602917,0.497421192
Protomyctophum_choriodon,0.099680979,0.102711636,NA,0.023150511,0.03307023,0.041547892,0.054811602,0.064408391,0.070596438,0.044792118,0.104967575,0.054693668,0.121306834,0.111022288,0.100513525,0.098931189,0.274273546,0.285240744,0.363040434,0.310101764,0.301739203,0.286478131,0.280016141,0.367547634,0.365802188,0.365152926,0.298525451,0.317231117,0.331491658,0.346345942,0.383825202,0.326206503,0.243531981,0.254159398,0.275725488,0.280356765,0.240750462,0.319637476,0.268516869,0.268349318,0.263925387,0.281979019,0.2741071,0.309903666,0.243303889,0.264088678,0.350959312,0.39302948,0.304094493,0.230038738,0.362283909,0.320455457,0.341935447,0.377144473,0.399953335,0.304621206,0.371858668,0.431204442,0.338009865,0.369070956,0.363658219,0.40516458,0.372533229,0.383585075,0.366957026,0.386564968,0.393249641,0.359778566,0.362266242,0.353930962,0.382574059,0.384697873,0.37672028,0.375501212,0.371578152,0.383389412,0.361666292,0.38146096,0.397497779,0.379676309,0.377595125,0.361480889,0.435490733,0.467040173,0.410908668,0.464385789,0.451877745,0.421551503,0.426836957,0.411525258,0.442939911,0.438499494,0.450182065,0.442197833,0.427095182,0.431548413,0.432888135,0.437142388,0.435796058,0.440379292,0.436550261,0.365550952,0.430816055,0.345548327,0.351558844,0.369817176,0.393135628,0.328145325,0.318445056,0.392327333,0.360404829,0.356208765,0.356593523,0.350659658,0.347766023,0.383353348,0.399042541,0.384171363,0.518611759,0.397969602,0.404792965,0.397598706,0.422276784,0.476925751,0.408368451,0.420450182,0.371309741,0.370325755,0.465758136,0.463338607,0.552403243,0.401824306,0.45588807,0.464188283,0.450764251,0.444183492,0.453491212,0.488446855,0.4594672,0.461461505,0.484438582,0.465169537,0.46682888,0.467877856,0.487791275,0.474331669,0.466915986,0.468042182,0.454161146,0.457253052,0.469250791,0.471926268,0.523408097,0.481316954,0.447525961,0.494165522,0.45288969,0.433920084,0.534562495,0.510399216,0.550162049,0.598014417,0.599438278,0.523072329,0.499282515,0.519342037,0.490502492,0.491168593,0.675137262,0.571393534,0.47340737,0.615396767,0.482687721,0.514123637,0.513199726,0.513018001
Protomyctophum_andriashevi,0.091073243,0.0941039,0.023150511,NA,0.021573348,0.035972839,0.046203866,0.055800655,0.061988702,0.036184382,0.096359839,0.046085933,0.112699099,0.102414552,0.091905789,0.090323453,0.26566581,0.276633008,0.354432699,0.301494028,0.293131467,0.277870395,0.271408405,0.358939898,0.357194453,0.35654519,0.289917716,0.308623381,0.322883923,0.337738207,0.375217466,0.317598768,0.234924245,0.245551663,0.267117752,0.271749029,0.232142726,0.311029741,0.259909134,0.259741582,0.255317651,0.273371283,0.265499365,0.30129593,0.234696153,0.255480942,0.342351577,0.384421744,0.295486758,0.221431002,0.353676173,0.311847722,0.333327712,0.368536738,0.3913456,0.29601347,0.363250933,0.422596706,0.329402129,0.36046322,0.355050483,0.396556844,0.363925493,0.37497734,0.35834929,0.377957232,0.384641905,0.35117083,0.353658507,0.345323227,0.373966323,0.376090137,0.368112544,0.366893477,0.362970416,0.374781677,0.353058557,0.372853224,0.388890044,0.371068573,0.368987389,0.352873153,0.426882998,0.458432438,0.402300932,0.455778053,0.443270009,0.412943767,0.418229222,0.402917523,0.434332176,0.429891759,0.441574329,0.433590097,0.418487446,0.422940677,0.4242804,0.428534652,0.427188322,0.431771556,0.427942526,0.356943216,0.42220832,0.336940591,0.342951109,0.361209441,0.384527893,0.319537589,0.30983732,0.383719598,0.351797094,0.34760103,0.347985787,0.342051922,0.339158287,0.374745612,0.390434806,0.375563628,0.510004023,0.389361867,0.39618523,0.38899097,0.413669048,0.468318016,0.399760716,0.411842447,0.362702006,0.36171802,0.4571504,0.454730872,0.543795508,0.39321657,0.447280335,0.455580548,0.442156515,0.435575756,0.444883477,0.479839119,0.450859464,0.452853769,0.475830846,0.456561802,0.458221144,0.45927012,0.479183539,0.465723933,0.45830825,0.459434446,0.445553411,0.448645316,0.460643055,0.463318533,0.514800361,0.472709219,0.438918225,0.485557786,0.444281955,0.425312348,0.52595476,0.501791481,0.541554313,0.589406681,0.590830543,0.514464593,0.49067478,0.510734301,0.481894757,0.482560858,0.666529527,0.562785798,0.464799634,0.606789032,0.474079986,0.505515901,0.50459199,0.504410265
Protomyctophum_gemmatum,0.089911914,0.092942571,0.03307023,0.021573348,NA,0.036618815,0.045042537,0.054639325,0.060827373,0.035023052,0.09519851,0.044924603,0.111537769,0.101253223,0.09074446,0.089162124,0.264504481,0.275471679,0.353271369,0.300332698,0.291970137,0.276709066,0.270247076,0.357778568,0.356033123,0.35538386,0.288756386,0.307462052,0.321722593,0.336576877,0.374056137,0.316437438,0.233762916,0.244390333,0.265956422,0.2705877,0.230981397,0.309868411,0.258747804,0.258580253,0.254156322,0.272209953,0.264338035,0.300134601,0.233534824,0.254319613,0.341190247,0.383260414,0.294325428,0.220269673,0.352514843,0.310686392,0.332166382,0.367375408,0.39018427,0.29485214,0.362089603,0.421435377,0.3282408,0.35930189,0.353889153,0.395395515,0.362764164,0.37381601,0.357187961,0.376795903,0.383480576,0.350009501,0.352497177,0.344161897,0.372804993,0.374928807,0.366951214,0.365732147,0.361809086,0.373620347,0.351897227,0.371691894,0.387728714,0.369907244,0.36782606,0.351711824,0.425721668,0.457271108,0.401139603,0.454616723,0.44210868,0.411782438,0.417067892,0.401756193,0.433170846,0.428730429,0.440412999,0.432428768,0.417326117,0.421779348,0.42311907,0.427373323,0.426026993,0.430610227,0.426781196,0.355781887,0.42104699,0.335779262,0.341789779,0.360048111,0.383366563,0.31837626,0.308675991,0.382558268,0.350635764,0.3464397,0.346824458,0.340890593,0.337996958,0.373584282,0.389273476,0.374402298,0.508842693,0.388200537,0.3950239,0.387829641,0.412507719,0.467156686,0.398599386,0.410681117,0.361540676,0.36055669,0.45598907,0.453569542,0.542634178,0.39205524,0.446119005,0.454419218,0.440995186,0.434414427,0.443722147,0.47867779,0.449698134,0.451692439,0.474669517,0.455400472,0.457059815,0.458108791,0.47802221,0.464562604,0.45714692,0.458273117,0.444392081,0.447483987,0.459481725,0.462157203,0.513639032,0.471547889,0.437756895,0.484396457,0.443120625,0.424151018,0.52479343,0.500630151,0.540392984,0.588245352,0.589669213,0.513303264,0.48951345,0.509572971,0.480733427,0.481399528,0.665368197,0.561624469,0.463638305,0.605627702,0.472918656,0.504354571,0.503430661,0.503248936
Protomyctophum_bolini,0.100340417,0.103371074,0.041547892,0.035972839,0.036618815,NA,0.05547104,0.065067829,0.071255876,0.045451556,0.105627013,0.055353107,0.121966273,0.111681726,0.101172963,0.099590628,0.274932985,0.285900182,0.363699873,0.310761202,0.302398641,0.287137569,0.280675579,0.368207072,0.366461627,0.365812364,0.29918489,0.317890556,0.332151097,0.347005381,0.38448464,0.326865942,0.24419142,0.254818837,0.276384926,0.281016203,0.2414099,0.320296915,0.269176308,0.269008756,0.264584825,0.282638457,0.274766539,0.310563104,0.243963327,0.264748117,0.351618751,0.393688918,0.304753932,0.230698177,0.362943347,0.321114896,0.342594886,0.377803912,0.400612774,0.305280644,0.372518107,0.43186388,0.338669303,0.369730394,0.364317657,0.405824019,0.373192667,0.384244514,0.367616465,0.387224406,0.39390908,0.360438004,0.362925681,0.354590401,0.383233497,0.385357311,0.377379718,0.376160651,0.37223759,0.384048851,0.362325731,0.382120398,0.398157218,0.380335747,0.378254563,0.362140327,0.436150172,0.467699612,0.411568107,0.465045227,0.452537184,0.422210941,0.427496396,0.412184697,0.44359935,0.439158933,0.450841503,0.442857272,0.42775462,0.432207851,0.433547574,0.437801827,0.436455496,0.44103873,0.4372097,0.36621039,0.431475494,0.346207766,0.352218283,0.370476615,0.393795067,0.328804763,0.319104494,0.392986772,0.361064268,0.356868204,0.357252962,0.351319097,0.348425462,0.384012786,0.39970198,0.384830802,0.519271197,0.398629041,0.405452404,0.398258144,0.422936222,0.47758519,0.40902789,0.421109621,0.37196918,0.370985194,0.466417574,0.463998046,0.553062682,0.402483744,0.456547509,0.464847722,0.451423689,0.44484293,0.454150651,0.489106293,0.460126638,0.462120943,0.48509802,0.465828976,0.467488318,0.468537295,0.488450713,0.474991107,0.467575424,0.46870162,0.454820585,0.457912491,0.469910229,0.472585707,0.524067535,0.481976393,0.448185399,0.49482496,0.453549129,0.434579522,0.535221934,0.511058655,0.550821487,0.598673856,0.600097717,0.523731768,0.499941954,0.520001475,0.491161931,0.491828032,0.675796701,0.572052973,0.474066809,0.616056206,0.48334716,0.514783075,0.513859164,0.513677439
Protomyctophum_thompsoni,0.092682339,0.095712996,0.054811602,0.046203866,0.045042537,0.05547104,NA,0.016541198,0.030610392,0.024426918,0.097968935,0.047695028,0.114308195,0.104023648,0.093514885,0.091932549,0.267274906,0.278242104,0.356041795,0.303103124,0.294740563,0.279479491,0.273017501,0.360548994,0.358803549,0.358154286,0.291526812,0.310232477,0.324493019,0.339347303,0.376826562,0.319207864,0.236533341,0.247160758,0.268726848,0.273358125,0.233751822,0.312638836,0.261518229,0.261350678,0.256926747,0.274980379,0.267108461,0.302905026,0.236305249,0.257090038,0.343960673,0.38603084,0.297095853,0.223040098,0.355285269,0.313456817,0.334936808,0.370145833,0.392954696,0.297622566,0.364860029,0.424205802,0.331011225,0.362072316,0.356659579,0.39816594,0.365534589,0.376586436,0.359958386,0.379566328,0.386251001,0.352779926,0.355267603,0.346932323,0.375575419,0.377699233,0.36972164,0.368502573,0.364579512,0.376390772,0.354667653,0.37446232,0.390499139,0.372677669,0.370596485,0.354482249,0.428492093,0.460041533,0.403910028,0.457387149,0.444879105,0.414552863,0.419838317,0.404526619,0.435941271,0.431500854,0.443183425,0.435199193,0.420096542,0.424549773,0.425889496,0.430143748,0.428797418,0.433380652,0.429551621,0.358552312,0.423817416,0.338549687,0.344560205,0.362818536,0.386136989,0.321146685,0.311446416,0.385328693,0.35340619,0.349210125,0.349594883,0.343661018,0.340767383,0.376354708,0.392043902,0.377172724,0.511613119,0.390970962,0.397794326,0.390600066,0.415278144,0.469927112,0.401369812,0.413451543,0.364311101,0.363327116,0.458759496,0.456339968,0.545404603,0.394825666,0.448889431,0.457189644,0.443765611,0.437184852,0.446492573,0.481448215,0.45246856,0.454462865,0.477439942,0.458170897,0.45983024,0.460879216,0.480792635,0.467333029,0.459917346,0.461043542,0.447162507,0.450254412,0.462252151,0.464927629,0.516409457,0.474318314,0.440527321,0.487166882,0.44589105,0.426921444,0.527563855,0.503400576,0.543163409,0.591015777,0.592439639,0.516073689,0.492283875,0.512343397,0.483503852,0.484169953,0.668138623,0.564394894,0.46640873,0.608398127,0.475689082,0.507124997,0.506201086,0.506019361
Protomyctophum_crockeri,0.102279128,0.105309785,0.064408391,0.055800655,0.054639325,0.065067829,0.016541198,NA,0.040207181,0.034023707,0.107565724,0.057291817,0.123904983,0.113620437,0.103111674,0.101529338,0.276871695,0.287838893,0.365638583,0.312699912,0.304337352,0.28907628,0.28261429,0.370145783,0.368400337,0.367751075,0.3011236,0.319829266,0.334089807,0.348944091,0.386423351,0.328804652,0.24613013,0.256757547,0.278323637,0.282954914,0.243348611,0.322235625,0.271115018,0.270947467,0.266523536,0.284577168,0.276705249,0.312501815,0.245902038,0.266686827,0.353557461,0.395627629,0.306692642,0.232636887,0.364882058,0.323053606,0.344533596,0.379742622,0.402551484,0.307219355,0.374456817,0.433802591,0.340608014,0.371669105,0.366256368,0.407762729,0.375131378,0.386183224,0.369555175,0.389163117,0.39584779,0.362376715,0.364864391,0.356529111,0.385172208,0.387296022,0.379318429,0.378099361,0.374176301,0.385987561,0.364264441,0.384059109,0.400095928,0.382274458,0.380193274,0.364079038,0.438088882,0.469638322,0.413506817,0.466983938,0.454475894,0.424149652,0.429435106,0.414123407,0.44553806,0.441097643,0.452780214,0.444795982,0.429693331,0.434146562,0.435486284,0.439740537,0.438394207,0.442977441,0.43914841,0.368149101,0.433414204,0.348146476,0.354156993,0.372415325,0.395733777,0.330743474,0.321043205,0.394925482,0.363002978,0.358806914,0.359191672,0.353257807,0.350364172,0.385951497,0.40164069,0.386769512,0.521209908,0.400567751,0.407391114,0.400196855,0.424874933,0.4795239,0.4109666,0.423048331,0.37390789,0.372923904,0.468356285,0.465936756,0.555001392,0.404422455,0.458486219,0.466786432,0.4533624,0.446781641,0.456089361,0.491045004,0.462065349,0.464059654,0.487036731,0.467767686,0.469427029,0.470476005,0.490389424,0.476929818,0.469514135,0.470640331,0.456759295,0.459851201,0.47184894,0.474524417,0.526006246,0.483915103,0.45012411,0.496763671,0.455487839,0.436518233,0.537160644,0.512997365,0.552760198,0.600612566,0.602036427,0.525670478,0.501880664,0.521940186,0.493100641,0.493766742,0.677735411,0.573991683,0.476005519,0.617994916,0.48528587,0.516721786,0.515797875,0.51561615
Protomyctophum_arcticum,0.108467175,0.111497832,0.070596438,0.061988702,0.060827373,0.071255876,0.030610392,0.040207181,NA,0.040211754,0.113753771,0.063479865,0.130093031,0.119808484,0.109299721,0.107717385,0.283059742,0.29402694,0.371826631,0.31888796,0.310525399,0.295264327,0.288802337,0.37633383,0.374588385,0.373939122,0.307311648,0.326017313,0.340277855,0.355132139,0.392611398,0.3349927,0.252318177,0.262945595,0.284511684,0.289142961,0.249536658,0.328423673,0.277303065,0.277135514,0.272711583,0.290765215,0.282893297,0.318689862,0.252090085,0.272874874,0.359745509,0.401815676,0.31288069,0.238824934,0.371070105,0.329241654,0.350721644,0.38593067,0.408739532,0.313407402,0.380644865,0.439990638,0.346796061,0.377857152,0.372444415,0.413950776,0.381319425,0.392371272,0.375743222,0.395351164,0.402035837,0.368564762,0.371052439,0.362717159,0.391360255,0.393484069,0.385506476,0.384287409,0.380364348,0.392175609,0.370452489,0.390247156,0.406283976,0.388462505,0.386381321,0.370267085,0.44427693,0.47582637,0.419694864,0.473171985,0.460663941,0.430337699,0.435623154,0.420311455,0.451726107,0.447285691,0.458968261,0.450984029,0.435881378,0.440334609,0.441674332,0.445928584,0.444582254,0.449165488,0.445336458,0.374337148,0.439602252,0.354334523,0.360345041,0.378603373,0.401921825,0.336931521,0.327231252,0.40111353,0.369191026,0.364994962,0.365379719,0.359445854,0.356552219,0.392139544,0.407828738,0.39295756,0.527397955,0.406755799,0.413579162,0.406384902,0.43106298,0.485711948,0.417154648,0.429236379,0.380095938,0.379111952,0.474544332,0.472124804,0.56118944,0.410610502,0.464674267,0.47297448,0.459550447,0.452969688,0.462277409,0.497233051,0.468253396,0.470247701,0.493224778,0.473955734,0.475615076,0.476664052,0.496577471,0.483117865,0.475702182,0.476828378,0.462947343,0.466039248,0.478036987,0.480712465,0.532194293,0.490103151,0.456312157,0.502951718,0.461675886,0.44270628,0.543348692,0.519185412,0.558948245,0.606800613,0.608224475,0.531858525,0.508068712,0.528128233,0.499288688,0.49995479,0.683923459,0.58017973,0.482193566,0.624182964,0.491473918,0.522909833,0.521985922,0.521804197
Protomyctophum_parallelum,0.082662855,0.085693512,0.044792118,0.036184382,0.035023052,0.045451556,0.024426918,0.034023707,0.040211754,NA,0.087949451,0.037675544,0.10428871,0.094004164,0.083495401,0.081913065,0.257255422,0.26822262,0.34602231,0.29308364,0.284721079,0.269460007,0.262998017,0.35052951,0.348784064,0.348134802,0.281507327,0.300212993,0.314473534,0.329327818,0.366807078,0.309188379,0.226513857,0.237141274,0.258707364,0.263338641,0.223732338,0.302619352,0.251498745,0.251331194,0.246907263,0.264960895,0.257088976,0.292885542,0.226285765,0.247070554,0.333941188,0.376011356,0.287076369,0.213020614,0.345265785,0.303437333,0.324917323,0.360126349,0.382935212,0.287603082,0.354840544,0.414186318,0.320991741,0.352052832,0.346640095,0.388146456,0.355515105,0.366566951,0.349938902,0.369546844,0.376231517,0.342760442,0.345248118,0.336912838,0.365555935,0.367679749,0.359702156,0.358483088,0.354560028,0.366371288,0.344648169,0.364442836,0.380479655,0.362658185,0.360577001,0.344462765,0.418472609,0.450022049,0.393890544,0.447367665,0.434859621,0.404533379,0.409818833,0.394507134,0.425921787,0.42148137,0.433163941,0.425179709,0.410077058,0.414530289,0.415870011,0.420124264,0.418777934,0.423361168,0.419532137,0.348532828,0.413797931,0.328530203,0.33454072,0.352799052,0.376117504,0.311127201,0.301426932,0.375309209,0.343386705,0.339190641,0.339575399,0.333641534,0.330747899,0.366335224,0.382024417,0.367153239,0.501593635,0.380951478,0.387774841,0.380580582,0.40525866,0.459907627,0.391350327,0.403432058,0.354291617,0.353307631,0.448740012,0.446320483,0.535385119,0.384806182,0.438869946,0.447170159,0.433746127,0.427165368,0.436473089,0.471428731,0.442449076,0.444443381,0.467420458,0.448151413,0.449810756,0.450859732,0.470773151,0.457313545,0.449897862,0.451024058,0.437143022,0.440234928,0.452232667,0.454908145,0.506389973,0.46429883,0.430507837,0.477147398,0.435871566,0.41690196,0.517544371,0.493381092,0.533143925,0.580996293,0.582420154,0.506054205,0.482264391,0.502323913,0.473484368,0.474150469,0.658119138,0.55437541,0.456389246,0.598378643,0.465669597,0.497105513,0.496181602,0.495999877
