SPECIES,Triphoturus_nigrescens,Benthosema_fibulatum,Benthosema_glaciale,Benthosema_panamense,Benthosema_suborbitale,Bolinichthys_distofax,Bolinichthys_indicus,Bolinichthys_longipes,Bolinichthys_nikolayi,Bolinichthys_photothorax,Bolinichthys_pyrsobolus,Bolinichthys_supralateralis,Centrobranchus_andreae,Centrobranchus_choerocephalus,Centrobranchus_nigroocellatus,Ceratoscopelus_maderensis,Ceratoscopelus_townsendi,Ceratoscopelus_warmingii,Diaphus_aliciae,Diaphus_anderseni,Diaphus_arabicus,Diaphus_bertelseni,Diaphus_brachycephalus,Diaphus_danae,Diaphus_diadematus,Diaphus_diademophilus,Diaphus_dumerilii,Diaphus_effulgens,Diaphus_fragilis,Diaphus_fulgens,Diaphus_garmani,Diaphus_holti,Diaphus_hudsoni,Diaphus_jenseni,Diaphus_luetkeni,Diaphus_malayanus,Diaphus_meadi,Diaphus_metopoclampus,Diaphus_mollis,Diaphus_nielseni,Diaphus_ostenfeldi,Diaphus_pacificus,Diaphus_parri,Diaphus_perspicillatus,Diaphus_phillipsi,Diaphus_problematicus,Diaphus_rafinesquii,Diaphus_regani,Diaphus_richardsoni,Diaphus_schmidti,Diaphus_signatus,Diaphus_splendidus,Diaphus_subtilis,Diaphus_termophilus,Diaphus_theta,Diaphus_thiollierei,Diaphus_vanhoeffeni,Diogenichthys_atlanticus,Diogenichthys_laternatus,Diogenichthys_panurgus,Electrona_antarctica,Electrona_carlsbergi,Electrona_paucirastra,Electrona_risso,Electrona_subaspera,Gonichthys_barnesi,Gonichthys_cocco,Gonichthys_tenuiculus,Gymnoscopelus_bolini,Gymnoscopelus_braueri,Gymnoscopelus_fraseri,Gymnoscopelus_nicholsi,Gymnoscopelus_opisthopterus,Gymnoscopelus_piabilis,Hintonia_candens,Hygophum_atratum,Hygophum_benoiti,Hygophum_hanseni,Hygophum_hygomii,Hygophum_macrochir,Hygophum_proximum,Hygophum_reinhardtii,Hygophum_taaningi,Krefftichthys_anderssoni,Lampadena_anomala,Lampadena_chavesi,Lampadena_luminosa,Lampadena_notialis,Lampadena_pontifex,Lampadena_speculigera,Lampadena_urophaos,Lampanyctodes_hectoris,Lampanyctus_alatus,Lampanyctus_australis,Lampanyctus_crocodilus,Lampanyctus_festivus,Lampanyctus_hubbsi,Lampanyctus_intricarius,Lampanyctus_iselinoides,Lampanyctus_jordani,Lampanyctus_lepidolychnus,Lampanyctus_macdonaldi,Lampanyctus_macropterus,Lampanyctus_nobilis,Lampanyctus_omostigma,Lampanyctus_parvicauda,Lampanyctus_photonotus,Lampanyctus_pusillus,Lampanyctus_steinbecki,Lampanyctus_tenuiformis,Lampanyctus_turneri,Lampanyctus_vadulus,Lampichthys_procerus,Lepidophanes_gaussi,Lepidophanes_guentheri,Lobianchia_dofleini,Lobianchia_gemellarii,Loweina_interrupta,Loweina_rara,Metelectrona_ventralis,Myctophum_affine,Myctophum_asperum,Myctophum_aurolaternatum,Myctophum_brachygnathum,Myctophum_lychnobium,Myctophum_nitidulum,Myctophum_obtusirostre,Myctophum_phengodes,Myctophum_punctatum,Myctophum_selenops,Myctophum_spinosum,Nannobrachium_achirus,Nannobrachium_atrum,Nannobrachium_cuprarium,Nannobrachium_idostigma,Nannobrachium_isaacsi,Nannobrachium_lineatum,Nannobrachium_nigrum,Nannobrachium_regale,Nannobrachium_ritteri,Nannobrachium_wisneri,Notolychnus_valdiviae,Parvilux_ingens,Protomyctophum_andriashevi,Protomyctophum_arcticum,Protomyctophum_bolini,Protomyctophum_crockeri,Protomyctophum_normani,Protomyctophum_parallelum,Protomyctophum_subparallelum,Protomyctophum_tenisoni,Protomyctophum_thompsoni,Scopelopsis_multipunctatus,Stenobrachius_leucopsarus,Stenobrachius_nannochir,Symbolophorus_barnardi,Symbolophorus_boops,Symbolophorus_californiensis,Symbolophorus_evermanni,Symbolophorus_kreffti,Symbolophorus_rufinus,Symbolophorus_veranyi,Taaningichthys_bathyphilus,Taaningichthys_minimus,Taaningichthys_paurolychnus,Tarletonbeania_crenularis,Tarletonbeania_taylori,Triphoturus_mexicanus
Triphoturus_nigrescens,1,0.531946529,0.00260835,0.025923321,0.539081934,0.559298564,0.130185636,0.877641685,0.231753873,0.562497789,0.68006995,0.378865108,0.655308616,0.350588359,0.499590048,0.005050912,0.654028094,0.585518185,0.605134981,0.539728248,0.04007705,0.389456235,0.564487136,0.175391723,0.365860413,0.535573168,0.023222672,0.393130434,0.709304049,0.660658255,0.637134617,0.037369578,0.079430424,0.579391868,0.651206522,0.598480092,0.145482723,0.272867295,0.52663639,0.539304361,0.050790883,0.031775833,0.806299544,0.586284739,0.756797139,0.572522127,0.005488011,0.606228874,0.464300709,0.546509479,0.621074178,0.642740238,0.021027767,0.435808323,0.077045613,0.408242537,0.009664894,0.555995988,0.239591463,0.436841269,0,0.006522973,0.020196249,0.368558381,0.009453917,0.108004968,0.024050723,0.210092241,0.012600023,0.000305895,0.000360556,0.00067869,1.25E-05,0.011351825,0.005471558,0.12407318,0.005748202,0.075097805,0.231368258,0.123224198,0.872095339,0.549968823,0.023506414,0.001050321,0.516479132,0.116627839,0.670472145,0.083602239,0.008643365,0.055214027,0.502239023,0.053417743,0.460125852,0.131813003,0.004460052,0.383553468,0.242881647,0.088933157,0.00163073,0.040503085,0.094942325,0.017914163,0.553666577,0.688217172,0.245583369,0.076478723,0.022001424,0.160838968,0.74121464,0.752541896,0.433373987,0.411889469,0.118394187,0.022760878,0.023222672,0.191094456,0.47080429,0.092615404,0.515163836,0.084046216,0.023222672,0.668557641,0.470143456,0.591885928,0.659479072,0.661172403,0.582267786,0.188471276,0.002158308,0.556245968,0.777277026,0.119594082,0.194974864,0.01791082,0.102973902,0.013020582,0.298852652,0.491997346,0.104679583,0.107315347,0.02666993,0.602233912,0.07882168,0.00159444,0.000350821,0.000558811,0.072835715,0.02863815,0.011445804,0.052442072,0.001207318,0.025441426,0.282392598,0.053932991,0.037306488,0.165474637,0.064852365,0.119350586,0.839624523,0.012649036,0.52855062,0.012269246,0.58987684,0.362155325,0.490842407,0.018406979,0.014898571,0.257501882
Benthosema_fibulatum,x,1,0.005512802,0.029126806,0.311530538,0.38037247,0.119848694,0.530921427,0.262437204,0.3804649,0.461964151,0.282527827,0.575844433,0.175327642,0.293108177,0.014911319,0.310652327,0.327332049,0.719381419,0.307186036,0.119825203,0.264630902,0.391136422,0.186568756,0.447636886,0.479967218,0.020174618,0.2374282,0.451594031,0.494479659,0.551202988,0.029166653,0.031893643,0.530964206,0.48297842,0.523819292,0.093266973,0.189076083,0.311024452,0.537974752,0.02162801,0.020957922,0.540811428,0.370542138,0.601215071,0.434851922,0.016361143,0.569849807,0.639598571,0.375294698,0.553901028,0.471989939,0.018991408,0.351479986,0.001308795,0.659417491,0.005463116,0.264734306,0.05983034,0.665547909,0,0.003499977,0.011861944,0.160284417,0.004480551,0.058591159,0.022737938,0.070794779,0.009334815,4.44E-05,0.000154435,0.000353682,0,0.011488686,0.00199382,0.042184242,0.017289725,0.030484902,0.174636101,0.123005515,0.572698002,0.231829325,0.019589864,0.000515699,0.314014129,0.065435665,0.481616762,0.050152636,0.008830057,0.031704764,0.221801537,0.099383276,0.314361727,0.05908151,0.012167252,0.209616145,0.139705543,0.031680126,0.001059382,0.003266774,0.085935942,0.006913094,0.572229089,0.497156642,0.121226471,0.029253662,0.01646492,0.084723318,0.39630353,0.420036079,0.498759259,0.44398217,0.057592293,0.02009409,0.019514454,0.09983763,0.266417481,0.057065464,0.191100531,0.034238912,0.020204189,0.420778604,0.385261606,0.688108085,0.472727246,0.349655174,0.394143324,0.126492598,0.006207861,0.334864575,0.58328599,0.056752431,0.107061935,0.017700084,0.047044309,0.010491051,0.194955185,0.380984663,0.017213751,0.01277861,0.004721158,0.321634055,0.002052464,0.001315544,0.000333071,0.000195631,0.000749545,0.020379042,0.001269154,0.010636878,0.000734486,0.000413666,0.23615201,0.000536819,0.004829933,0.09039149,0.03355065,0.007836363,0.55027161,0.009157407,0.439866456,0.015888159,0.310356945,0.18765665,0.229414463,0.000151085,0.000199926,0.047788938
Benthosema_glaciale,x,x,1,4.06E-05,0.138662965,0.003956757,0.288381569,0.000865641,0.000344846,0.105288891,0.004706447,0.213824016,0.001688522,0,0.163813187,0.676359024,0.065932838,0.10081809,0.00379552,0.008486175,0,0.151690038,0.115741519,0.00119883,0.000427868,0.007058583,0.251841646,0.196754023,0.069095927,0.001884752,0.05110871,0.420814258,0,0.000431674,0.059671831,0.001047994,9.14E-06,0.256605636,0.133863977,0.003851931,1.01E-05,2.25E-05,0.007491684,0.119440384,0.000199953,0.089225667,0.597166774,0.002212236,0.001977281,0.001083555,0.007689788,0.081178777,0.14600339,0.14087399,0.003736708,0.008457402,0.016209621,0.125560329,0.000336028,0.001738385,0,9.51E-05,0.000217077,0.185569014,1.88E-05,0.000270608,0.384854153,0.000216596,0.000254057,0,3.17E-05,0.000102894,0,0.000455152,0.000105872,0.000139017,0.534074336,0,0.234627717,0.137634557,0.001745431,0.15057491,0.216800534,0,0.193446787,0.275907562,0.06694459,1.79E-05,0.019433698,0.379285624,0.199283493,0,0.123315776,0,0.721215475,0.174880608,0.001702094,0.242118076,0,0.000551,0,0.307616339,0.008591107,0.053751018,0.001109935,9.30E-05,0.313533126,0.26614046,0.000770896,0.049980204,0.004116602,0.02923009,0,0.262213212,0.231831159,0.244100018,0.175888594,0.272452261,0.201183817,6.11E-06,0.191282413,0.071735953,0.002453246,0.002671166,0.001101038,0.108155368,0.08686232,0,0.739133761,0.146606534,0.002721867,0,0.287060433,0.246905002,0.00024272,0.019337205,0.28926703,0.000202721,0.000542964,0.000451711,0.000704531,0.122543252,0.00024272,0.00031109,0.524228393,0,0.000296878,0.001566252,2.25E-05,0,0.000102443,0.003638386,0,0.002011459,0.001427008,0,0,0.003633683,0.000950673,0.035269493,0.107691388,0.609921881,0.150192839,0.231077183,0.149907776,0.000372744,0.000542331,0.000268992
Benthosema_panamense,x,x,x,1,0.002009315,0.000803208,1.48E-05,0.039957117,0,0.003429128,0.059203911,0.00031686,0.001042447,0.000215455,0.000539851,8.50E-06,0.020227199,0.00879692,0.012170951,0.001082908,0.005145666,0.000629548,0.000175141,0,0,0.022353385,0,0.000350774,0.013339824,0.015050029,0.034303598,0.000902908,4.54E-05,0.005121299,0.008588841,0.015013032,0,0.000152737,0.00079592,0.010961362,0,0.650257017,0.017504568,0.001408735,0.021626439,0.014226341,0,0.030504908,0.000594862,0.000425032,0.022625148,0.006730972,0,0.00218373,0.001569271,0.004481438,0,0.013826663,0.1995106,0.009980962,0,0,0,0.010374974,0,0,0,0.200171921,3.75E-05,0,0,0,0,0,0,0.310131236,0,4.29E-05,0,0.002422468,0.037961921,0.024761496,0,4.72E-06,0.015521376,0,0.007585142,0,0.000405175,0,0.016881917,0.000352657,0.001091824,2.23E-05,0,0.001410822,0.061594635,0.000111276,0,0.000969656,0,1.92E-05,0.047258535,0.010208326,0.177153553,0.417854421,0,0.000100372,0.019035416,0.019323856,0.00493172,0.000104224,4.11E-05,0,0,0.000134897,0.001548777,0,0.027617992,5.44E-05,0,0.013500638,0.127008906,0.007517924,0.061683844,0.029524111,0.013122066,0,0,0.001824675,0.013980484,4.20E-05,7.82E-05,0,0.394421276,0,0.018762972,0.020120942,0.002931441,0.033873851,0,0.015503109,0.017963424,0,0,0,0.007193447,0,5.86E-06,1.98E-05,7.11E-06,0.001307514,0,0.001276791,0.002385906,4.48E-05,5.78E-05,0.005714057,0.046095793,5.13E-05,0.003434591,1.35E-05,0.012496106,9.76E-05,0.024386557,0.002883524,0.000271954,0.16877397
Benthosema_suborbitale,x,x,x,x,1,0.42185784,0.506031518,0.479732532,0.19377815,0.648337118,0.367511857,0.775279608,0.369385355,0.191446263,0.838478406,0.228584553,0.700848465,0.884900811,0.355933286,0.539961674,0.008381816,0.703718916,0.778365865,0.252077409,0.420987467,0.261820341,0.334336712,0.789959787,0.640074194,0.330632665,0.593132179,0.34254502,0.237836013,0.310575202,0.587186703,0.307724272,0.337692001,0.651180807,0.904791679,0.287527472,0.201240633,0.001547852,0.59178354,0.882225871,0.440810273,0.58786661,0.229352704,0.300348826,0.302929129,0.29178264,0.318486801,0.638876982,0.232406681,0.588638926,0.056349,0.221622367,0.091722005,0.868347082,0.085082696,0.295592368,0.000488757,0.053854096,0.10335577,0.675433567,0.089830696,0.292356499,0.344449992,0.071042878,0.064508238,0.005236444,0.016790851,0.003848514,0.00019027,0.077971884,0.086796422,0.039304956,0.230991035,0.23042681,0.611733211,0.359927448,0.50005573,0.781787381,0.321666171,0.013010678,0.78667852,0.471727244,0.717167663,0.244043238,0.051648956,0.331852007,0.641809352,0.105562067,0.864201431,0.306563346,0.170600175,0.803854653,0.087785272,0.352924629,0.009599432,0.032663571,0.25910439,0.168106624,0.287238986,0.619926335,0.079039843,0.011502187,0.329571955,0.543476079,0.397139707,0.66477892,0.437743637,0.380620653,0.263499723,0.323756042,0.333388549,0.593846384,0.891333841,0.386284631,0.65227619,0.226842506,0.318245985,0.719502922,0.211969126,0.346350345,0.311208055,0.766532997,0.630960662,0.385473621,0.128729502,0.789018854,0.459869371,0.244774899,0.605724441,0.287991887,0.025704299,0.11367452,0.517195537,0.250537601,0.067436315,0.057940061,0.151470907,0.861028312,0.051602707,0.018581372,0.037330594,0.005957232,0.049163912,0.12409919,0.056873978,0.179033002,0.0150217,0.02531194,0.482146066,0.041803657,0.03272914,0.351475703,0.231785775,0.078246302,0.458420401,0.119783904,0.566457416,0.296100903,0.828978355,0.583556572,0.475650875,0.020121185,0.015775327,0.117895817
Bolinichthys_distofax,x,x,x,x,x,1,0.163825964,0.523044438,0.30291003,0.530892245,0.40757706,0.314658462,0.602167737,0.382802159,0.460757247,0.026681131,0.530919027,0.44033534,0.522365588,0.590423449,0,0.447412168,0.528084454,0.131918686,0.399795097,0.373179313,0.201080352,0.347629428,0.554171003,0.547612127,0.494213403,0.151941231,0.042385053,0.49500242,0.506847784,0.473844938,0.105340538,0.217297634,0.462577991,0.435086535,0.025896522,0.00032568,0.553808861,0.486249896,0.577479522,0.492809696,0.026480657,0.435070355,0.384281099,0.658880784,0.432698662,0.551321832,0.12063508,0.454798316,0.056427715,0.257960553,0.088463254,0.424575899,0.082751674,0.275946603,0,0.001784871,0.00133845,0.258939604,0.002963965,0.063379181,0.181184068,0.061127677,0.002302295,1.42E-06,1.81E-06,1.72E-05,0,0.005836677,0.003425255,0.019627039,0.027815118,0.029909664,0.192510661,0.230164742,0.508560668,0.481623418,0.206507037,0.00010463,0.399039245,0.114423065,0.531420664,0.064183731,0.054089326,0.060876226,0.388799495,0.022885762,0.386795985,0.077936664,0.005593377,0.336752461,0.188859694,0.056550028,0,0.039039498,0.071356924,0.01114695,0.353967114,0.565691994,0.132433528,0.002689196,0.180840581,0.143748733,0.593116789,0.541885577,0.418983044,0.427531498,0.057553421,0.183354676,0.2072901,0.178736363,0.377259871,0.050984961,0.368484733,0.048371215,0.204143279,0.506257568,0.269114583,0.496570398,0.462806378,0.46744992,0.581365877,0.147330031,0.00188644,0.536622701,0.595594886,0.074579363,0.21710607,0.156138572,0.006591599,0.106958438,0.24357854,0.570319367,0.077134538,0.051561607,0.030993324,0.4207067,0.042883123,0.000660294,7.99E-05,1.55E-06,0.035284337,0.00561268,0.000867248,0.01973581,9.76E-05,0.013713724,0.252086189,0.031146001,0.029436252,0.121987792,0.050627636,0.095241623,0.529112114,0.087884863,0.487205921,0.086813068,0.402479656,0.380479284,0.339313645,0.003290147,0.009707057,0.10760096
Bolinichthys_indicus,x,x,x,x,x,x,1,0.077103399,0.000327923,0.438034807,0.068676631,0.635610112,0.064999832,0.002515168,0.574682344,0.460226874,0.282678079,0.447227059,0.095547037,0.260202877,0.004729136,0.56414032,0.49370595,0.143683759,0.314836832,0.060513446,0.632770042,0.621227577,0.336500161,0.059561265,0.336620804,0.634885159,0.286552874,0.067762696,0.325188578,0.064637138,0.368169707,0.662935477,0.535247884,0.082474603,0.241010567,0,0.223398744,0.497248328,0.085508877,0.391416715,0.459709559,0.065440677,0.118441686,0.015607883,0.073125551,0.364615257,0.385261785,0.349187356,0,0.085244712,0.122095367,0.457829069,0.000208879,0.154060148,0.002217445,0.076420288,0.157552735,0.477336455,0.119857918,0.321835622,0.698620811,0.000417726,0.083404263,0.011092124,0.034468179,0.009896906,0.000750122,0.109232937,0.141810419,1.85E-05,0.466146719,0.279425513,0.672807172,0.481229178,0.114839656,0.369706257,0.56338229,0.023966633,0.530132716,0.679823436,0.391302253,0.314762464,0.070621358,0.540152983,0.295461924,0.091272535,0.570765495,0.336076448,0.364504704,0.554574928,0.002712942,0.456894145,0,0,0.383852382,0.271737807,0.08100675,0.324770947,0.001619665,0.000319927,0.67372084,0.673690281,0.054497932,0.300828546,0.340584863,0.240723038,0.25938429,0.623022005,0.628905956,0.661059414,0.541337057,0.53807708,0.396077736,0.26502853,0.554029005,0.391080087,0.024410276,0.095453612,0.036459773,0.378025938,0.384444996,0.382922163,0.295864551,0.451226902,0.120671927,0.199704565,0.618805638,0.551247182,7.27E-06,0.155557955,0.611952228,0.0070377,0,0,0.147036609,0.450118734,2.39E-05,0.04105864,0.125259101,0.00906894,0,0.166744095,0.056916846,0.168112239,0.029903381,0,0.446821604,0,0,0.374934378,0.306875927,0,0.081862303,0.171889032,0.40655159,0.555427826,0.440240801,0.653303147,0.235441877,0,0,5.48E-05
Bolinichthys_longipes,x,x,x,x,x,x,x,1,0.232100416,0.546553281,0.748394468,0.322936912,0.644720954,0.332478501,0.443616032,0.000762884,0.618812736,0.532437015,0.617380917,0.470508929,0.046375186,0.344574136,0.518601061,0.155081023,0.316782215,0.565520451,0.000284381,0.335824091,0.703444824,0.671991599,0.60924143,0.018894203,0.05959989,0.600047834,0.640478319,0.641573771,0.105872865,0.219172813,0.468397975,0.546882993,0.035403944,0.05116565,0.776466054,0.526115184,0.757207713,0.563674889,0.001203095,0.66513256,0.478286699,0.523642796,0.638363184,0.628053126,0.000966498,0.419000285,0.059333176,0.420161232,0.000192613,0.504428384,0.30334898,0.431749405,0,0.002694817,0.010700725,0.319650364,0.003997266,0.077675939,0.001387903,0.275859831,0.006964414,0.000137587,8.86E-05,0.000375424,0,0.006811742,0.002575681,0.169127946,0.001548345,0.055307596,0.177379237,0.115401498,0.912336522,0.519281472,0.000596591,0.000607883,0.476689783,0.075149583,0.627559592,0.052232536,0.001312143,0.020698978,0.466532879,0.041476442,0.403868676,0.100013582,0.000730344,0.33031803,0.275915709,0.063244054,0.003517932,0.028695861,0.054993798,0.009615811,0.592745237,0.6858959,0.303302647,0.119640787,0.00016169,0.111785907,0.731326995,0.728738208,0.384005153,0.423249232,0.09583041,0.000887479,0.000284381,0.143650626,0.413893724,0.062375352,0.483357145,0.061300755,0.000284381,0.621159781,0.55592104,0.580848968,0.699299843,0.64810837,0.57194458,0.142402903,0.000649916,0.519043271,0.761634916,0.088848665,0.15455261,0.000183682,0.15277961,0.00057498,0.277794247,0.518080864,0.082543177,0.101259238,0.026165386,0.554855055,0.065298673,0.000356828,3.76E-05,0.00033176,0.060802846,0.014961323,0.013105263,0.043671713,0.000671229,0.019398072,0.228917822,0.040698117,0.028116451,0.128132827,0.04086684,0.097751585,0.927337475,0.004138313,0.525301337,0.000904257,0.538533763,0.283035108,0.468586608,0.015400267,0.01025734,0.293733786
Bolinichthys_nikolayi,x,x,x,x,x,x,x,x,1,0.203945613,0.120566251,0.201319369,0.251012189,0.027755241,0.184283238,0.000344846,0.197593805,0.186960097,0.282356036,0.311198345,0,0.190066577,0.232743452,0.380015776,0.443956454,0.142708699,0,0.165110012,0.194424222,0.170624622,0.143306801,0.000344846,0.099004216,0.211361012,0.18146631,0.239865257,0.19448953,0.200132971,0.196859464,0.153604938,0.096506703,0,0.251080113,0.195107255,0.263690739,0.136960285,0.000344846,0.186289185,0.201827813,0.299360132,0.161089511,0.227757683,0,0.395517092,0,0.191611639,0,0.167629066,0.002306751,0.174647593,0.000198349,0.008108271,0.038795486,0.142512938,0.018558918,0.175724631,0.000344846,0.001895676,0.016265209,0.000717611,0.001098026,0.001176042,3.73E-05,0.020936451,0.025583431,0.008465192,0.000344846,0.110454335,0.21742159,0.001701545,0.241590473,0.183398102,0,0.001182141,0.134377532,0.121842602,0.199155125,0.098278703,0,0.030147965,0.200955719,0.149999596,0.182898433,0.113433181,0.000344846,0.211320674,0.091188704,0.086729759,0.00855918,0,0.076678875,0.023914484,0.09434395,0.196543931,0.033552469,0,0,0.155937532,0.203117335,0.152298395,0.111328874,0.219968844,0.120395081,0.000246474,0,0.151309859,0.178066495,0.136109086,0.129907435,0.056868266,0,0.191239428,0.089897778,0.186667317,0.070531215,0.143963967,0.163237178,0.268491454,0.000344846,0.225490094,0.262380212,0.079082977,0.189116615,0,0,0,0.026207904,0.221451237,0,0,0.100648467,0.155393152,0,0.00126373,0,0.0008074,0,0.042064835,0.017446002,0.089990716,0.001476966,0,0.278159499,0,0,0.168636004,0.063484019,0,0.217940558,0,0.197291201,0.000344846,0.141960172,0.014945824,0.033598759,0,0,0.006169694
Bolinichthys_photothorax,x,x,x,x,x,x,x,x,x,1,0.452708268,0.623801322,0.442696221,0.163793874,0.70410699,0.26476122,0.631078068,0.63858825,0.477954321,0.432574411,0.007135021,0.6592407,0.787640518,0.129963141,0.347782475,0.40714131,0.424050911,0.526422149,0.825494799,0.458384024,0.674558106,0.335893145,0.059264143,0.477084883,0.818224352,0.480151498,0.131597374,0.399017283,0.667388846,0.434230804,0.031583782,0.002088236,0.636258119,0.713990705,0.492158199,0.844888539,0.263078747,0.463495515,0.401702781,0.370624261,0.462758493,0.863100943,0.369713624,0.672746597,0.002500845,0.28806605,0.175530435,0.613237847,0.125133905,0.348171873,6.79E-06,0.003325854,0.008734923,0.383586807,0.005409162,0.084967448,0.42778068,0.101292284,0.006313891,0.000253264,3.71E-06,0.000507879,0,0.008219888,0.003557619,0.034007032,0.2908544,0.05344413,0.372673137,0.468062545,0.556820816,0.597450826,0.424173683,0.000863467,0.652763654,0.267033999,0.7997405,0.065523142,0.088201203,0.155351323,0.480752961,0.030740294,0.651363399,0.120703203,0.156382825,0.521559293,0.18117949,0.136421695,0.001016272,0.001216761,0.097008136,0.047715811,0.407970009,0.808959264,0.160553714,0.01618524,0.403628432,0.300584867,0.473544687,0.725814735,0.418450546,0.587994782,0.081981754,0.377674993,0.424127271,0.357210579,0.592332266,0.146384394,0.563485928,0.073341668,0.419800428,0.795628804,0.315565595,0.420420815,0.360918926,0.685530419,0.824258842,0.174531596,0.098105354,0.715688837,0.585615356,0.105222381,0.405996877,0.339292807,0.024664811,0.210004801,0.598259782,0.380578549,0.011519624,0.006610157,0.020840698,0.651684123,0.004746014,0.001271224,0.012724567,0.000346046,0.005944019,0.015758351,0.004051074,0.026268616,0.000796851,0.000492801,0.296764359,0.001132017,0.001554517,0.153664237,0.059113308,0.013519777,0.548671566,0.210959663,0.836804176,0.250996742,0.63424151,0.492803522,0.396445938,0.000667221,0.00015661,0.071719086
