SPECIES,Triphoturus_nigrescens,Benthosema_fibulatum,Benthosema_glaciale,Benthosema_panamense,Benthosema_suborbitale,Bolinichthys_distofax,Bolinichthys_indicus,Bolinichthys_longipes,Bolinichthys_nikolayi,Bolinichthys_photothorax,Bolinichthys_pyrsobolus,Bolinichthys_supralateralis,Centrobranchus_andreae,Centrobranchus_choerocephalus,Centrobranchus_nigroocellatus,Ceratoscopelus_maderensis,Ceratoscopelus_townsendi,Ceratoscopelus_warmingii,Diaphus_aliciae,Diaphus_anderseni,Diaphus_arabicus,Diaphus_bertelseni,Diaphus_brachycephalus,Diaphus_danae,Diaphus_diadematus,Diaphus_diademophilus,Diaphus_dumerilii,Diaphus_effulgens,Diaphus_fragilis,Diaphus_fulgens,Diaphus_garmani,Diaphus_holti,Diaphus_hudsoni,Diaphus_jenseni,Diaphus_luetkeni,Diaphus_malayanus,Diaphus_meadi,Diaphus_metopoclampus,Diaphus_mollis,Diaphus_nielseni,Diaphus_ostenfeldi,Diaphus_pacificus,Diaphus_parri,Diaphus_perspicillatus,Diaphus_phillipsi,Diaphus_problematicus,Diaphus_rafinesquii,Diaphus_regani,Diaphus_richardsoni,Diaphus_schmidti,Diaphus_signatus,Diaphus_splendidus,Diaphus_subtilis,Diaphus_termophilus,Diaphus_theta,Diaphus_thiollierei,Diaphus_vanhoeffeni,Diogenichthys_atlanticus,Diogenichthys_laternatus,Diogenichthys_panurgus,Electrona_antarctica,Electrona_carlsbergi,Electrona_paucirastra,Electrona_risso,Electrona_subaspera,Gonichthys_barnesi,Gonichthys_cocco,Gonichthys_tenuiculus,Gymnoscopelus_bolini,Gymnoscopelus_braueri,Gymnoscopelus_fraseri,Gymnoscopelus_nicholsi,Gymnoscopelus_opisthopterus,Gymnoscopelus_piabilis,Hintonia_candens,Hygophum_atratum,Hygophum_benoiti,Hygophum_hanseni,Hygophum_hygomii,Hygophum_macrochir,Hygophum_proximum,Hygophum_reinhardtii,Hygophum_taaningi,Krefftichthys_anderssoni,Lampadena_anomala,Lampadena_chavesi,Lampadena_luminosa,Lampadena_notialis,Lampadena_pontifex,Lampadena_speculigera,Lampadena_urophaos,Lampanyctodes_hectoris,Lampanyctus_alatus,Lampanyctus_australis,Lampanyctus_crocodilus,Lampanyctus_festivus,Lampanyctus_hubbsi,Lampanyctus_intricarius,Lampanyctus_iselinoides,Lampanyctus_jordani,Lampanyctus_lepidolychnus,Lampanyctus_macdonaldi,Lampanyctus_macropterus,Lampanyctus_nobilis,Lampanyctus_omostigma,Lampanyctus_parvicauda,Lampanyctus_photonotus,Lampanyctus_pusillus,Lampanyctus_steinbecki,Lampanyctus_tenuiformis,Lampanyctus_turneri,Lampanyctus_vadulus,Lampichthys_procerus,Lepidophanes_gaussi,Lepidophanes_guentheri,Lobianchia_dofleini,Lobianchia_gemellarii,Loweina_interrupta,Loweina_rara,Metelectrona_ventralis,Myctophum_affine,Myctophum_asperum,Myctophum_aurolaternatum,Myctophum_brachygnathum,Myctophum_lychnobium,Myctophum_nitidulum,Myctophum_obtusirostre,Myctophum_phengodes,Myctophum_punctatum,Myctophum_selenops,Myctophum_spinosum,Nannobrachium_achirus,Nannobrachium_atrum,Nannobrachium_cuprarium,Nannobrachium_idostigma,Nannobrachium_isaacsi,Nannobrachium_lineatum,Nannobrachium_nigrum,Nannobrachium_regale,Nannobrachium_ritteri,Nannobrachium_wisneri,Notolychnus_valdiviae,Parvilux_ingens,Protomyctophum_andriashevi,Protomyctophum_arcticum,Protomyctophum_bolini,Protomyctophum_crockeri,Protomyctophum_normani,Protomyctophum_parallelum,Protomyctophum_subparallelum,Protomyctophum_tenisoni,Protomyctophum_thompsoni,Scopelopsis_multipunctatus,Stenobrachius_leucopsarus,Stenobrachius_nannochir,Symbolophorus_barnardi,Symbolophorus_boops,Symbolophorus_californiensis,Symbolophorus_evermanni,Symbolophorus_kreffti,Symbolophorus_rufinus,Symbolophorus_veranyi,Taaningichthys_bathyphilus,Taaningichthys_minimus,Taaningichthys_paurolychnus,Tarletonbeania_crenularis,Tarletonbeania_taylori,Triphoturus_mexicanus
Triphoturus_nigrescens,1,0.708898863,0.00694601,0.15333767,0.748589356,0.724402953,0.214178046,0.968307855,0.458626572,0.711036121,0.853972816,0.526405537,0.809160855,0.588346207,0.687002788,0.015774357,0.807193846,0.789315171,0.785701116,0.704280078,0.18954646,0.576263266,0.722555959,0.282823934,0.560595173,0.735806487,0.071122889,0.58719223,0.839485244,0.831435263,0.799798627,0.071643499,0.126765738,0.775182993,0.785397046,0.788796708,0.238982703,0.416458537,0.720774767,0.733492196,0.086900498,0.169682286,0.928854519,0.761578412,0.900057209,0.716183664,0.017743777,0.791318903,0.678177741,0.751101334,0.802917478,0.783103044,0.06546298,0.587445542,0.143284569,0.613440836,0.049655055,0.76663239,0.456066119,0.642750726,0,0.009196661,0.041616775,0.578901578,0.013792902,0.186858456,0.062048902,0.424663582,0.018376383,0.000420221,0.000553291,0.001289942,1.79E-05,0.018698336,0.010346352,0.326339275,0.019835653,0.126685057,0.353580556,0.202930516,0.966637049,0.694683086,0.070979209,0.001682947,0.731519689,0.184968542,0.832072065,0.135603137,0.058987847,0.081329558,0.653624431,0.142042288,0.670908314,0.206388589,0.012531481,0.607399584,0.472493417,0.129380681,0.013376838,0.106673295,0.173818847,0.025964095,0.723226539,0.831475685,0.466849789,0.258586281,0.056612758,0.248008365,0.892971285,0.880630184,0.620131705,0.54463466,0.18230156,0.066564682,0.069662047,0.306397446,0.683980432,0.155795146,0.685232259,0.123232453,0.077954653,0.809867211,0.682851976,0.766710151,0.836499791,0.834808714,0.744175667,0.317873558,0.006461034,0.71367831,0.912666906,0.18958935,0.306411839,0.054745073,0.296801021,0.058156553,0.427519859,0.698034092,0.189755168,0.209217018,0.063297956,0.794330621,0.23188863,0.002590001,0.001089422,0.000905686,0.170275874,0.046127562,0.015667865,0.081733237,0.002033016,0.066837316,0.437890728,0.103704984,0.084351998,0.258277497,0.102583445,0.223290396,0.95528301,0.052380931,0.66657866,0.026678218,0.784188178,0.448785984,0.643225131,0.064700273,0.052005565,0.457553444
Benthosema_fibulatum,x,1,0.00912331,0.136845143,0.516680243,0.493037805,0.188309088,0.706033753,0.402039978,0.550674607,0.633475391,0.47863006,0.737586301,0.279807855,0.475984134,0.02087994,0.484853771,0.547281373,0.87489462,0.423137703,0.328481651,0.428847584,0.546767642,0.243739397,0.555246385,0.640220363,0.028949307,0.40939822,0.642217345,0.668583715,0.74221809,0.048126565,0.046985985,0.697391035,0.65825977,0.695972667,0.142764357,0.325271684,0.496611283,0.701044198,0.0301706,0.093473748,0.719153837,0.550010331,0.757184404,0.630925811,0.024852298,0.736479385,0.818621239,0.541317643,0.713154434,0.652957397,0.035904141,0.468041757,0.001718317,0.804421177,0.012513597,0.48836578,0.103346479,0.825442128,0,0.006699388,0.016592106,0.339708632,0.007649511,0.082808658,0.030459279,0.125150406,0.016032641,8.85E-05,0.000277165,0.00064748,0,0.018244008,0.0028326,0.086563635,0.027221757,0.044232474,0.280777113,0.2062179,0.743377168,0.35022398,0.029304306,0.001089401,0.541576568,0.094523204,0.665851944,0.074435157,0.025240931,0.048573238,0.324278336,0.156570557,0.503457436,0.099426773,0.018431055,0.385138031,0.242818887,0.05129264,0.003130645,0.004939535,0.124882705,0.011626999,0.727002348,0.676791807,0.19875146,0.086848483,0.021540251,0.146489781,0.561009749,0.618517985,0.638310112,0.576222428,0.097225247,0.02771683,0.025459951,0.191778216,0.474316084,0.081208745,0.338356025,0.060753306,0.030893035,0.608880928,0.527265134,0.824116953,0.619240705,0.569841445,0.57039088,0.184608366,0.011304946,0.489012186,0.753721144,0.139780864,0.19575786,0.026442345,0.106146481,0.019975736,0.374476157,0.521417478,0.023441387,0.015379507,0.006208552,0.546957139,0.0029427,0.002374224,0.000488746,0.000411231,0.001031042,0.029796238,0.002242644,0.016423244,0.001348718,0.000530132,0.346201932,0.00068041,0.00667928,0.138308955,0.049917505,0.010498925,0.729109683,0.017386737,0.61874341,0.022200257,0.534703587,0.271796447,0.351064881,0.000255203,0.000302884,0.077378246
Benthosema_glaciale,x,x,1,0.000179394,0.258752276,0.004982599,0.441773312,0.003264562,0.000892804,0.1696174,0.008731029,0.373415212,0.003832483,0,0.285519104,0.78236016,0.150161757,0.229593486,0.004988844,0.021503319,0,0.258673528,0.202617668,0.002974055,0.000679904,0.009348289,0.403678335,0.354622262,0.117797657,0.003360585,0.09263948,0.540869794,0,0.000854941,0.110010135,0.001705511,3.23E-05,0.394642695,0.255199925,0.004673977,1.59E-05,6.44E-05,0.022484964,0.235080826,0.000390547,0.145324759,0.75285422,0.003088783,0.002621178,0.003235878,0.010359926,0.141051279,0.21477463,0.222524762,0.005536442,0.015334209,0.040593544,0.257659807,0.000592635,0.002605856,0,0.000132079,0.000634319,0.34470401,8.48E-05,0.000427665,0.549201099,0.000315874,0.000609776,0,4.65E-05,0.00012281,0,0.001114473,0.000302059,0.000242731,0.700224277,0,0.367568956,0.231942791,0.005706918,0.266518521,0.325332838,0,0.347433465,0.394514802,0.131345758,6.80E-05,0.056575838,0.554248117,0.347221223,0,0.239737672,0,0.840166725,0.303908488,0.002010285,0.438618462,0,0.00184213,0,0.49198766,0.012506891,0.093074416,0.001505071,0.000194179,0.473700612,0.406923924,0.001560598,0.09466116,0.005669992,0.041104695,0,0.404969658,0.385312883,0.400098296,0.339039018,0.383851761,0.313552338,3.09E-05,0.327757056,0.136839657,0.004118997,0.00343029,0.002049906,0.221058512,0.1491433,0,0.867676322,0.266640611,0.008949499,0,0.442491551,0.379307391,0.000689414,0.043437939,0.4549979,0.000343583,0.001530138,0.000985649,0.000770391,0.25652879,0.000988566,0.000428472,0.738441511,0,0.001007851,0.00607649,4.02E-05,0,0.000123062,0.006973103,0,0.003000734,0.002766648,0,0,0.006167018,0.002186933,0.074079652,0.16513047,0.710905913,0.306733105,0.358178805,0.252661547,0.001241867,0.001888962,0.000460461
Benthosema_panamense,x,x,x,1,0.021651949,0.006125607,9.16E-05,0.191577237,0,0.028721046,0.229704268,0.00277337,0.004955193,0.000869878,0.005014182,3.42E-05,0.134345379,0.088389874,0.067011233,0.008010776,0.010767799,0.003574816,0.001500847,0,0,0.093139209,0,0.003166604,0.105446048,0.082862703,0.174402234,0.006981727,0.000138637,0.030994749,0.062289652,0.086234127,0,0.000913168,0.008443452,0.0563687,0,0.801432113,0.109278556,0.013648183,0.134763663,0.103344652,0,0.135868922,0.003018006,0.002089659,0.105921841,0.055898437,0,0.017635643,0.003882043,0.016284167,0,0.112203914,0.428222109,0.052804678,0,0,0,0.09572993,0,0,0,0.429503337,0.000158819,0,0,0,0,0,0,0.519919591,0,0.000140389,0,0.022742341,0.185948774,0.151730974,0,2.56E-05,0.118738276,0,0.064475624,0,0.000477656,0,0.123546694,0.000408838,0.010641602,8.58E-05,0,0.014283374,0.13777226,0.000655347,0,0.002071645,0,0.000135806,0.190397427,0.082536126,0.347054679,0.616185098,0,0.000739267,0.106270813,0.130379045,0.030332869,0.000429086,0.000134329,0,0,0.001019081,0.018607184,0,0.159211026,0.000160192,0,0.096938003,0.34108909,0.040737059,0.23821393,0.164565962,0.090440883,0,0,0.014337989,0.086805512,0.000142329,0.000573347,0,0.605718624,0,0.130849803,0.08374487,0.005418471,0.144944943,0,0.118733862,0.03971453,0,0,0,0.016802819,0,3.48E-05,8.25E-05,3.14E-05,0.002844002,0,0.003329655,0.004614378,0.000132446,0.000165255,0.021541696,0.204906676,0.000119038,0.028394035,6.67E-05,0.103163554,0.000616202,0.143768749,0.004171649,0.000459264,0.393512967
Benthosema_suborbitale,x,x,x,x,1,0.640218324,0.696795356,0.676394644,0.425331169,0.838036329,0.570311545,0.896902043,0.588624813,0.416968902,0.965496151,0.420620792,0.882202623,0.971614479,0.566427849,0.749438191,0.062852716,0.880011935,0.929628845,0.444571055,0.63478535,0.473699277,0.548201616,0.932639548,0.83316363,0.557320036,0.769141946,0.549528144,0.407469796,0.541758452,0.799335743,0.535406278,0.539260066,0.834046828,0.985694723,0.511755558,0.367825363,0.013090802,0.780345016,0.979956338,0.655079408,0.781941299,0.438940886,0.521103849,0.528001429,0.523316941,0.537888806,0.833836612,0.465546051,0.788377498,0.142460147,0.424218757,0.284231329,0.967712211,0.2174527,0.478655829,0.000695308,0.078287455,0.223449187,0.873156859,0.149685862,0.513339834,0.574158164,0.200722086,0.099236303,0.007246462,0.027073664,0.006959906,0.000307561,0.137432875,0.193133509,0.140480151,0.45694717,0.410884365,0.79607676,0.570817375,0.69233177,0.870448104,0.557835851,0.018624713,0.93579601,0.682391594,0.901876594,0.411528696,0.211264435,0.493737755,0.787701894,0.278047489,0.967136608,0.47654065,0.350871397,0.954366842,0.269407894,0.519101222,0.086839211,0.114513577,0.455002342,0.263199589,0.467226496,0.822427642,0.227666597,0.058070644,0.561298699,0.744717623,0.620547332,0.856624257,0.642147294,0.602084721,0.417344288,0.559154288,0.546298236,0.777174201,0.969669264,0.602758209,0.840736053,0.344403875,0.537452194,0.902328574,0.373797256,0.564519163,0.50907803,0.924235128,0.823596674,0.611616748,0.284781633,0.934575465,0.674232693,0.349963971,0.773476656,0.524341231,0.101417468,0.319733626,0.726648156,0.476334219,0.174078475,0.170808869,0.354641622,0.962419638,0.207085339,0.030411587,0.129361431,0.008854245,0.161003444,0.205884462,0.090570682,0.30740682,0.024838899,0.083341054,0.681043174,0.108205123,0.093575392,0.548799464,0.386179727,0.20568322,0.655391163,0.322466737,0.764196343,0.481383056,0.952834129,0.783367512,0.67995643,0.082071779,0.07294775,0.262350879
Bolinichthys_distofax,x,x,x,x,x,1,0.206933608,0.66912873,0.453963199,0.708580079,0.581747352,0.492066718,0.729122941,0.584393852,0.676775786,0.036013727,0.732476253,0.655022198,0.636316206,0.781425699,0,0.63987802,0.722698271,0.174079298,0.491889519,0.521266012,0.278207446,0.568175248,0.751007471,0.698805919,0.6825646,0.214666862,0.0600354,0.652894614,0.687102164,0.625524974,0.163083821,0.373541493,0.675897568,0.59281213,0.034711204,0.002030865,0.739663153,0.695596655,0.697828112,0.676983717,0.032866347,0.58788898,0.492424776,0.821792934,0.60048764,0.72445929,0.188722301,0.578091179,0.085958908,0.327651919,0.234468273,0.640599908,0.145178724,0.370746533,0,0.002459129,0.001833359,0.443505602,0.003947618,0.097245026,0.23380318,0.116850179,0.003197781,1.49E-06,2.25E-06,2.26E-05,0,0.008137395,0.004529076,0.04679212,0.040180258,0.041633442,0.309269332,0.330773235,0.654549434,0.688935364,0.265718343,0.000130293,0.617551196,0.161659441,0.724201467,0.097495764,0.179564487,0.094453103,0.555793951,0.040328782,0.596148185,0.112502305,0.007230349,0.555514816,0.353086131,0.084198005,0,0.081457263,0.110256821,0.015207986,0.46721908,0.755075505,0.224357205,0.009009488,0.230958693,0.223729681,0.745151972,0.752331271,0.588970086,0.538542314,0.081357274,0.241074923,0.281623835,0.285713298,0.604084988,0.072159661,0.5839417,0.070693814,0.301518169,0.712299093,0.394361748,0.647280523,0.59135698,0.680071391,0.77377072,0.227986854,0.002616674,0.732904178,0.753972182,0.15773544,0.343086377,0.201112626,0.019219616,0.252002444,0.372567446,0.754614329,0.114959097,0.092099518,0.048984192,0.638241467,0.103411892,0.000896518,0.000235506,1.60E-06,0.067807193,0.007310494,0.001060385,0.025412502,0.00012329,0.024878129,0.381096837,0.048935265,0.047026401,0.17945774,0.073322504,0.153442547,0.677843659,0.204408275,0.633897964,0.112526934,0.619416826,0.491826345,0.456367187,0.007749989,0.023203553,0.163481856
Bolinichthys_indicus,x,x,x,x,x,x,1,0.117105565,0.000411557,0.567917816,0.106885756,0.800275585,0.101385573,0.003211977,0.728825989,0.644081955,0.441859922,0.660116998,0.151872242,0.328747663,0.028800418,0.717464077,0.650383625,0.178023733,0.419495953,0.107299281,0.786138893,0.782155886,0.459629334,0.096333624,0.474917431,0.795823279,0.403025478,0.121277453,0.46588947,0.105686816,0.492004807,0.784864583,0.714250842,0.145360477,0.344581508,0,0.328187113,0.686888339,0.140421864,0.531507308,0.658613131,0.1104583,0.225067011,0.018176193,0.122889525,0.503402511,0.60002007,0.460118438,0,0.174396451,0.322967651,0.665097067,0.000275724,0.243365543,0.002491658,0.106128203,0.254212897,0.669923733,0.175286223,0.430192391,0.830018584,0.000543003,0.11393514,0.013347694,0.046655064,0.013107111,0.000885404,0.155362621,0.229157249,5.14E-05,0.669897184,0.38850633,0.789449759,0.683667916,0.175743337,0.499964484,0.762320817,0.031156228,0.705914982,0.795910572,0.561569416,0.447940239,0.242197031,0.71797038,0.378502843,0.172627986,0.752671731,0.445587612,0.571743951,0.731445696,0.00536568,0.598740004,0,0,0.551264791,0.380079817,0.135679372,0.457802118,0.003146216,0.000863062,0.818482581,0.803339609,0.070301409,0.438831092,0.473967039,0.366531325,0.349572575,0.795648445,0.787049162,0.802747541,0.732464232,0.650305163,0.504647739,0.36400195,0.750398118,0.568845771,0.034543083,0.151724223,0.059501479,0.567306982,0.516227984,0.466025826,0.49258854,0.614411438,0.17672088,0.298646054,0.752496064,0.746096111,1.57E-05,0.365963635,0.756688664,0.00910224,0,0,0.226301988,0.66472527,6.36E-05,0.057508922,0.301837755,0.010754021,0,0.232114776,0.079101267,0.23764132,0.039624522,0,0.541564566,0,0,0.497068742,0.43749757,0,0.121196291,0.376858499,0.52832996,0.746837256,0.656301887,0.762029192,0.343052078,0,0,6.65E-05
Bolinichthys_longipes,x,x,x,x,x,x,x,1,0.457894138,0.665362448,0.894270615,0.454821116,0.804280288,0.570136147,0.604477673,0.003716405,0.781450946,0.736729918,0.799950176,0.623250688,0.204965491,0.491112116,0.646262756,0.243243688,0.47797683,0.756818152,0.001219125,0.498823359,0.813026471,0.843855961,0.760531823,0.027681997,0.090818321,0.790934343,0.760201698,0.825527408,0.166120522,0.331645565,0.640913968,0.73316367,0.059196833,0.215866836,0.893721785,0.681851574,0.914771089,0.689368337,0.00432762,0.834954032,0.681633648,0.736440462,0.815569594,0.750118129,0.00196087,0.557413038,0.120688672,0.62767376,0.001427312,0.715543901,0.532208985,0.637238454,0,0.00362081,0.021208767,0.52232129,0.005608315,0.132729281,0.003704634,0.504869734,0.009796379,0.000193662,0.000133398,0.000637694,0,0.010600416,0.00489353,0.388327688,0.004733123,0.088206787,0.269671123,0.146477269,0.976338407,0.668638437,0.001551629,0.000925268,0.681926905,0.114379925,0.781032532,0.079408393,0.005517322,0.028890756,0.642131428,0.107922528,0.597004428,0.154809773,0.003788092,0.529712798,0.498326956,0.093294693,0.032899543,0.082254857,0.09497632,0.013074375,0.760678269,0.803450364,0.524782735,0.327874409,0.000537583,0.169091263,0.894436093,0.848115776,0.541885315,0.530858156,0.146580271,0.00206535,0.001068203,0.23284138,0.61285638,0.104113693,0.664367582,0.089284235,0.001316697,0.76475966,0.759513468,0.754331698,0.866453715,0.805044859,0.698649654,0.239333688,0.003587339,0.643359212,0.901095242,0.146788951,0.244625827,0.000723832,0.370206924,0.002072209,0.405386525,0.721811659,0.164886958,0.193331877,0.065823299,0.749404104,0.207406007,0.000525099,0.000136886,0.000519933,0.154342485,0.023884729,0.018042651,0.069902826,0.001008964,0.054855089,0.339465474,0.087279708,0.07077643,0.191995313,0.059909569,0.193166723,0.986166276,0.010312267,0.632235475,0.003506103,0.737549228,0.352131233,0.629949068,0.058166941,0.037144677,0.503310159
Bolinichthys_nikolayi,x,x,x,x,x,x,x,x,1,0.408053568,0.232049343,0.435800126,0.418936119,0.055654629,0.41866038,0.000997935,0.428847851,0.418793437,0.440700413,0.540643143,0,0.4184444,0.467792252,0.548123558,0.646301859,0.226590864,0,0.392636674,0.401618197,0.282111036,0.307101377,0.000805227,0.16107729,0.336899379,0.371020904,0.377136043,0.338750609,0.426194451,0.431952931,0.243636132,0.148236277,0,0.484456358,0.430805585,0.45938495,0.292684859,0.001004851,0.304010021,0.321677996,0.420943668,0.269888962,0.437352605,0,0.617446138,0,0.292084108,0,0.394698096,0.002911065,0.308550603,0.000377035,0.015796771,0.059814259,0.321191195,0.031237175,0.276101546,0.000706271,0.0023846,0.031024309,0.001245786,0.00164038,0.001573089,7.48E-05,0.034796311,0.038389092,0.011191143,0.000988144,0.174248864,0.435016234,0.004037738,0.468096304,0.412591759,0,0.001903076,0.352142016,0.21475557,0.422245102,0.174017227,0,0.064349835,0.432903984,0.211334567,0.411889004,0.202427491,0.001080458,0.43403872,0.140314354,0.156130252,0.040755086,0,0.139646272,0.045937493,0.162354459,0.395677548,0.040748185,0,0,0.30426117,0.371742408,0.358041433,0.20527609,0.34141959,0.206077622,0.000263103,0,0.330082415,0.408255711,0.217208643,0.337125947,0.112029633,0,0.415223594,0.160951503,0.317527818,0.141562926,0.366142777,0.351020592,0.42399359,0.001110482,0.463628736,0.464504206,0.240365143,0.398595345,0,0,0,0.083632979,0.342332606,0,0,0.152555756,0.382083391,0,0.0020374,0,0.001223605,0,0.072323595,0.028222529,0.143099912,0.002139563,0,0.495753031,0,0,0.293606669,0.106072497,0,0.430622121,0,0.380632416,0.000887698,0.364150997,0.053978069,0.089090536,0,0,0.009221009
Bolinichthys_photothorax,x,x,x,x,x,x,x,x,x,1,0.635849155,0.780353315,0.62143246,0.331603273,0.872548365,0.381611672,0.826350978,0.822920274,0.658961261,0.606055756,0.040398674,0.850611096,0.918425698,0.20103408,0.52871801,0.604898933,0.571673073,0.736075896,0.952738498,0.665187105,0.863976742,0.484060167,0.09234048,0.684999787,0.953576151,0.682011169,0.206651361,0.589068035,0.850925886,0.644168012,0.052163225,0.014654811,0.761022823,0.882336764,0.662176511,0.948372077,0.398410655,0.656191703,0.608364874,0.563734648,0.665338729,0.970686062,0.59433502,0.833090311,0.005966845,0.461508761,0.393923332,0.807264852,0.245460462,0.509187837,8.83E-06,0.004440784,0.015702022,0.592789433,0.007524161,0.144153008,0.56267311,0.21771509,0.008666439,0.000321193,4.83E-06,0.000841523,0,0.012471919,0.006220061,0.108262179,0.435121883,0.085720266,0.548186109,0.636177623,0.675747501,0.777924625,0.628883866,0.001228627,0.841641999,0.407229994,0.942603083,0.105450278,0.273158478,0.237977357,0.651015902,0.079165129,0.8437936,0.175718396,0.261950917,0.741873765,0.386118593,0.203432498,0.013914276,0.00366584,0.160152569,0.067194392,0.560876486,0.947523459,0.315178874,0.058025645,0.566822926,0.458924843,0.642642712,0.899339692,0.61273169,0.780553168,0.120203721,0.56596374,0.572677152,0.530145633,0.79367991,0.227443576,0.753534676,0.103284043,0.589635015,0.924892303,0.457768981,0.613904912,0.521344603,0.862864426,0.953852402,0.284721951,0.175642789,0.875523544,0.756274083,0.170254845,0.578832086,0.548390616,0.083804544,0.434349054,0.774864717,0.586048572,0.024673372,0.015470673,0.048804784,0.831130878,0.018557343,0.001957016,0.032860981,0.000465271,0.018145861,0.023444769,0.00553358,0.038658998,0.001183327,0.001857703,0.434362199,0.003267493,0.004672238,0.228540805,0.092367803,0.027397295,0.671362363,0.422997067,0.933980458,0.381112849,0.816849184,0.661224092,0.557084557,0.003296162,0.000731076,0.140275665
Bolinichthys_pyrsobolus,x,x,x,x,x,x,x,x,x,x,1,0.372713907,0.743187032,0.522438657,0.496417921,0.023800337,0.718725019,0.636851429,0.754600552,0.445834305,0.181600798,0.41613628,0.540794979,0.099868694,0.285066807,0.818488887,0.053266068,0.376364863,0.771920503,0.849232694,0.759203099,0.057632986,0.031930289,0.809851471,0.761466476,0.838211459,0.047257384,0.214025725,0.526651282,0.782274394,0.013344847,0.247352786,0.787238255,0.584654685,0.81504314,0.704550042,0.025882764,0.87588615,0.651666652,0.638353458,0.872697751,0.706793176,0.058795132,0.470347043,0.129124643,0.594197863,0.075817246,0.624093483,0.601853587,0.605737083,5.02E-06,0.000525371,0.005939947,0.446862808,0.000988024,0.017868392,0.041932636,0.569472179,0.002780554,6.35E-05,0,0.000182623,0,0.008767021,0.000791928,0.452829766,0.028862114,0.025605652,0.132129872,0.208564676,0.859841446,0.592297974,0.049502605,0.000323273,0.618411491,0.015366711,0.722374458,0.010921622,0.076526916,0.016987108,0.541514518,0.040167402,0.513124554,0.079526424,0.013893284,0.421790944,0.547532381,0.040177781,0.018106027,0.062936206,0.030072908,0.00775388,0.80179136,0.764322573,0.600279719,0.336462263,0.035659588,0.065631791,0.851563167,0.808706171,0.523990843,0.562159042,0.080629882,0.029892663,0.048847409,0.135686236,0.507215637,0.014644429,0.620792982,0.049762593,0.059673392,0.706806198,0.829040884,0.722692801,0.872052732,0.749131313,0.699548021,0.083169218,0.005285775,0.561809928,0.829579823,0.077164701,0.160354742,0.02473794,0.424138209,0.081961282,0.459096945,0.705739555,0.196234595,0.216084458,0.015883664,0.666948072,0.21707694,0.000298654,0.002207436,9.63E-05,0.208454029,0.002390508,0.010616297,0.023422589,0.000295297,0.092403517,0.193361726,0.112857863,0.110710775,0.088531452,0.019214984,0.188325955,0.890911675,0.06928058,0.623639198,0.02677234,0.673294746,0.294460146,0.647016327,0.128056038,0.0533816,0.497462903
