SPECIES,Triphoturus_nigrescens,Benthosema_fibulatum,Benthosema_glaciale,Benthosema_panamense,Benthosema_suborbitale,Bolinichthys_distofax,Bolinichthys_indicus,Bolinichthys_longipes,Bolinichthys_nikolayi,Bolinichthys_photothorax,Bolinichthys_pyrsobolus,Bolinichthys_supralateralis,Centrobranchus_andreae,Centrobranchus_choerocephalus,Centrobranchus_nigroocellatus,Ceratoscopelus_maderensis,Ceratoscopelus_townsendi,Ceratoscopelus_warmingii,Diaphus_aliciae,Diaphus_anderseni,Diaphus_arabicus,Diaphus_bertelseni,Diaphus_brachycephalus,Diaphus_danae,Diaphus_diadematus,Diaphus_diademophilus,Diaphus_dumerilii,Diaphus_effulgens,Diaphus_fragilis,Diaphus_fulgens,Diaphus_garmani,Diaphus_holti,Diaphus_hudsoni,Diaphus_jenseni,Diaphus_luetkeni,Diaphus_malayanus,Diaphus_meadi,Diaphus_metopoclampus,Diaphus_mollis,Diaphus_nielseni,Diaphus_ostenfeldi,Diaphus_pacificus,Diaphus_parri,Diaphus_perspicillatus,Diaphus_phillipsi,Diaphus_problematicus,Diaphus_rafinesquii,Diaphus_regani,Diaphus_richardsoni,Diaphus_schmidti,Diaphus_signatus,Diaphus_splendidus,Diaphus_subtilis,Diaphus_termophilus,Diaphus_theta,Diaphus_thiollierei,Diaphus_vanhoeffeni,Diogenichthys_atlanticus,Diogenichthys_laternatus,Diogenichthys_panurgus,Electrona_antarctica,Electrona_carlsbergi,Electrona_paucirastra,Electrona_risso,Electrona_subaspera,Gonichthys_barnesi,Gonichthys_cocco,Gonichthys_tenuiculus,Gymnoscopelus_bolini,Gymnoscopelus_braueri,Gymnoscopelus_fraseri,Gymnoscopelus_nicholsi,Gymnoscopelus_opisthopterus,Gymnoscopelus_piabilis,Hintonia_candens,Hygophum_atratum,Hygophum_benoiti,Hygophum_hanseni,Hygophum_hygomii,Hygophum_macrochir,Hygophum_proximum,Hygophum_reinhardtii,Hygophum_taaningi,Krefftichthys_anderssoni,Lampadena_anomala,Lampadena_chavesi,Lampadena_luminosa,Lampadena_notialis,Lampadena_pontifex,Lampadena_speculigera,Lampadena_urophaos,Lampanyctodes_hectoris,Lampanyctus_alatus,Lampanyctus_australis,Lampanyctus_crocodilus,Lampanyctus_festivus,Lampanyctus_hubbsi,Lampanyctus_intricarius,Lampanyctus_iselinoides,Lampanyctus_jordani,Lampanyctus_lepidolychnus,Lampanyctus_macdonaldi,Lampanyctus_macropterus,Lampanyctus_nobilis,Lampanyctus_omostigma,Lampanyctus_parvicauda,Lampanyctus_photonotus,Lampanyctus_pusillus,Lampanyctus_steinbecki,Lampanyctus_tenuiformis,Lampanyctus_turneri,Lampanyctus_vadulus,Lampichthys_procerus,Lepidophanes_gaussi,Lepidophanes_guentheri,Lobianchia_dofleini,Lobianchia_gemellarii,Loweina_interrupta,Loweina_rara,Metelectrona_ventralis,Myctophum_affine,Myctophum_asperum,Myctophum_aurolaternatum,Myctophum_brachygnathum,Myctophum_lychnobium,Myctophum_nitidulum,Myctophum_obtusirostre,Myctophum_phengodes,Myctophum_punctatum,Myctophum_selenops,Myctophum_spinosum,Nannobrachium_achirus,Nannobrachium_atrum,Nannobrachium_cuprarium,Nannobrachium_idostigma,Nannobrachium_isaacsi,Nannobrachium_lineatum,Nannobrachium_nigrum,Nannobrachium_regale,Nannobrachium_ritteri,Nannobrachium_wisneri,Notolychnus_valdiviae,Parvilux_ingens,Protomyctophum_andriashevi,Protomyctophum_arcticum,Protomyctophum_bolini,Protomyctophum_crockeri,Protomyctophum_normani,Protomyctophum_parallelum,Protomyctophum_subparallelum,Protomyctophum_tenisoni,Protomyctophum_thompsoni,Scopelopsis_multipunctatus,Stenobrachius_leucopsarus,Stenobrachius_nannochir,Symbolophorus_barnardi,Symbolophorus_boops,Symbolophorus_californiensis,Symbolophorus_evermanni,Symbolophorus_kreffti,Symbolophorus_rufinus,Symbolophorus_veranyi,Taaningichthys_bathyphilus,Taaningichthys_minimus,Taaningichthys_paurolychnus,Tarletonbeania_crenularis,Tarletonbeania_taylori,Triphoturus_mexicanus
Triphoturus_nigrescens,1,0.986401425,0.031748765,1,0.949044586,0.859507251,0.382310357,0.985832299,0.92791722,0.759503097,0.945808217,0.676518047,0.980073982,0.995084692,0.869953291,0.072452804,0.912343949,1,0.98198319,0.822141283,1,0.693596603,0.81295966,0.515380437,0.795071046,0.984027699,0.154400071,0.793278132,0.857940552,0.99669704,0.794379147,0.21575284,0.308994796,0.998150203,0.794052977,0.994433354,0.468854438,0.556598726,0.897490446,0.988928003,0.242422666,1,0.913787686,0.900063694,0.961629277,0.768062363,0.073596943,0.985658378,0.964806172,0.998287671,0.993021781,0.784534563,0.29312986,0.677578145,0.525194394,0.978749969,0.327923895,1,0.979597305,0.981954617,0,0.023866416,0.126936928,0.871252654,0.043479497,0.465372972,0.178036673,0.961619587,0.042746859,0.001239356,0.002242755,0.002580807,7.36E-05,0.045627376,0.041812577,0.990948896,0.074565449,0.318565937,0.470994319,0.424076776,0.985686736,0.767218684,0.215962091,0.003485978,0.953915074,0.399797408,0.921346072,0.307210922,0.400622656,0.186510571,0.690084926,0.406763487,0.862509554,0.389237459,0.080822659,0.873261146,0.995837321,0.263740211,0.182846004,0.445628874,0.352082118,0.063658258,0.94586784,0.826993631,0.998951513,0.981633432,0.175198277,0.393012022,0.954457652,0.951549894,0.806865805,0.789681775,0.33426077,0.20335971,0.148796763,0.47181741,0.931745223,0.32031975,0.798097665,0.228741415,0.174933193,0.91955414,0.98373133,0.990325186,0.99288526,1,0.751311318,0.596420467,0.042480495,0.829273885,0.991340052,0.362454352,0.442726115,0.185962024,0.951667264,0.346189132,0.627637398,0.992548596,0.561583333,0.598410734,0.230879739,1,0.810394341,0.007282396,0.010141364,0.002048552,0.536481858,0.099201065,0.042152205,0.22011507,0.004477004,0.361636342,0.653900796,0.470777006,0.413484654,0.483807184,0.260689148,0.602520756,0.991797549,0.299989994,0.767797202,0.10116312,0.99996603,0.616494163,0.695791875,0.329204648,0.296801858,0.941751486
Benthosema_fibulatum,0.986401425,1,0.012568654,0.598453608,0.942615536,0.551789812,0.319880774,0.969041339,0.53588408,0.888440259,0.826294388,0.870832579,0.800992277,0.378664985,0.880145889,0.032953886,0.915704069,1,0.932787994,0.659607089,1,0.755682738,0.868385217,0.24964793,0.528677948,0.646875089,0.022426222,0.800116178,0.981316243,0.762110636,0.993219758,0.051394616,0.062993401,0.74139852,0.952157393,0.781251488,0.211444515,0.600556132,0.899058194,0.709215412,0.03688185,0.361683306,0.984839683,0.906371713,0.949567188,0.961032654,0.034441056,0.805582272,0.824109794,0.54834638,0.765853101,0.960937426,0.043357701,0.613507156,0.004744542,0.853684421,0.029572554,1,0.173097535,0.78465443,0,0.012189199,0.02213632,0.752311663,0.01283675,0.114540381,0.028933239,0.211299061,0.023292798,0.000199979,0.000571369,0.000828485,0,0.021293007,0.004676131,0.183145994,0.034941469,0.058451019,0.482273286,0.246697965,0.987906029,0.606631686,0.030322252,0.001599832,0.994771976,0.157183533,0.991810382,0.103398692,0.061558056,0.073668473,0.572016265,0.196830052,0.913837598,0.159783261,0.039441638,0.814943196,0.445287081,0.088371694,0.014424951,0.008661144,0.138271229,0.02069307,0.722657626,0.98398263,0.339153507,0.178131858,0.022522191,0.285341536,0.78505109,0.993257849,0.721733914,0.631533839,0.1412233,0.031423734,0.022426222,0.41408043,0.937701765,0.109045719,0.677271905,0.09387588,0.023837963,0.967689099,0.576234711,0.837893173,0.688108865,0.999980954,0.888297416,0.278504157,0.020661824,0.80842007,0.935197265,0.34699222,0.399700984,0.029546164,0.207637146,0.044883557,0.691346621,0.559676026,0.0455,0.043285549,0.01318128,1,0.007669679,0.003094914,0.00209998,0.000599937,0.002357671,0.036900896,0.004885203,0.027444744,0.001676015,0.001813533,0.497252669,0.002046747,0.014647509,0.194065384,0.063507633,0.022314888,0.974955005,0.035522498,0.888802125,0.02773845,0.999876203,0.428250374,0.533429831,0.000730638,0.000893336,0.100934337
Benthosema_glaciale,0.031748765,0.012568654,1,0.001546392,0.579845388,0.018370896,0.644617,0.010743617,0.001380829,0.413336547,0.031077289,0.666121451,0.008539798,0,0.589435444,0.666924715,0.496823402,0.61658718,0.011535614,0.048931664,0,0.538644307,0.503348772,0.004183812,0.002221036,0.023277836,0.611370328,0.664623543,0.366660354,0.011604483,0.273101358,0.613832406,0,0.00290973,0.360823677,0.005922763,6.89E-05,0.628759835,0.592517346,0.014238736,8.61E-05,0.000631872,0.043835333,0.586043629,0.002289905,0.383498907,0.661969362,0.011070746,0.005371808,0.006060502,0.023329488,0.399855374,0.368695585,0.48327336,0.015749242,0.017837158,0.078817098,0.618704912,0.001397183,0.006318762,0,0.000671476,0.000912519,0.649868287,0.000189391,0.001360169,0.650057678,0.000971918,0.001721733,0,0.000241043,0.000499303,0,0.002427644,0.000619824,0.000980264,0.65292657,0,0.597940807,0.448236084,0.020781323,0.571804893,0.473476696,0,0.661954856,0.546237152,0.421514781,0.000120521,0.124035944,0.723575696,0.64132849,0,0.571322808,0,0.856350352,0.594084124,0.00361244,0.691895801,0,0.00341811,0,0.586267454,0.028374167,0.327181006,0.002567724,0.000954107,0.601522012,0.632495997,0.006163806,0.348651022,0.013773868,0.110104854,0,0.52977738,0.611370328,0.66445137,0.684320174,0.526781564,0.567070126,6.89E-05,0.553451215,0.424424511,0.009021883,0.007024672,0.005216852,0.569360032,0.408033608,0,0.996798493,0.581790947,0.019524457,0,0.653036277,0.463077426,0.001900323,0.079322512,0.652468105,0.000946953,0.0024375,0.001936669,0.002995816,0.625264717,0.001856132,0.001308517,1,0,0.001613143,0.011621701,0.000241043,0,0.00051652,0.020632655,0,0.008843967,0.007016269,0,0,0.013392689,0.009090753,0.149094426,0.38083022,0.683855306,0.665725452,0.576505225,0.516175686,0.002818175,0.004145078,0.000998605
Benthosema_panamense,1,0.598453608,0.001546392,1,0.293814433,0.071305842,0.001202749,1,0,0.340893471,1,0.037457045,0.037457045,0.006701031,0.07628866,0.000343643,0.9895189,1,0.421993127,0.054810997,0.011512027,0.038831615,0.025601375,0,0,0.510824742,0,0.045017182,0.968900344,0.568041237,0.971821306,0.047079038,0.001202749,0.271305842,0.574742268,0.617353952,0,0.011340206,0.123367698,0.367353952,0,0.839690722,0.810652921,0.171305842,0.932817869,0.844158076,0,0.712027491,0.013573883,0.020962199,0.590893471,0.580412371,0,0.158075601,0.017697595,0.05137457,0,1,0.9895189,0.297594502,0,0,0,0.991580756,0,0,0,0.988487973,0.001718213,0,0,0,0,0,0,0.96185567,0,0.001202749,0,0.115979381,1,1,0,0.000343643,1,0,0.646735395,0,0.00137457,0,0.992439863,0.001202749,0.142955326,0.000859107,0,0.170790378,0.381443299,0.008247423,0,0.009278351,0,0.001890034,0.874570447,0.770618557,0.831099656,0.939003436,0,0.011168385,0.730756014,1,0.182989691,0.003780069,0.001202749,0,0,0.014604811,0.2604811,0,1,0.001202749,0,0.830412371,0.997594502,0.177491409,0.998453608,1,0.713230241,0,0,0.150687285,0.634707904,0.001202749,0.008762887,0,0.986597938,0,0.995017182,0.434364261,0.018213058,0.653608247,0,1,0.114604811,0,0,0,0.060824742,0,0.000515464,0.000859107,0.000343643,0.012371134,0,0.015979381,0.01580756,0.001030928,0.001202749,0.10137457,1,0.000687285,0.312542955,0.000687285,1,0.008419244,0.994501718,0.012199313,0.001718213,0.987457045
Benthosema_suborbitale,0.949044586,0.942615536,0.579845388,0.293814433,1,0.998921775,0.924038879,0.93820389,1,0.995094045,0.910093931,0.918692463,0.990712784,0.99998567,0.997768095,0.922409698,0.921157393,1,0.959211834,0.994820753,0.731343284,0.996810867,0.999962722,0.860147668,0.999984044,0.9562625,0.800482444,0.928064975,0.955041395,0.974233822,0.948067525,0.908358147,0.735577465,0.995190529,0.975083406,0.954996186,0.883057706,0.945716065,0.986046498,0.981279838,0.715985465,0.211045116,0.952578355,0.993521381,0.938587302,0.950273693,0.925000876,0.923273923,0.980661648,1,0.968508548,0.977406601,1,0.999485631,0.608707112,0.948735236,1,0.999462856,0.820892666,0.949381001,0.004048361,0.204129707,0.540566734,0.91248683,0.356288745,0.983142476,0.932235842,0.785102775,0.249006079,0.035725476,0.119649454,0.024548945,0.001708982,0.328893386,0.488540334,0.718990982,0.94106066,0.767407359,0.933659404,0.946056633,0.939416745,0.962977566,0.999875627,0.080340388,0.948237875,0.991627982,0.972758781,0.72978431,0.988325196,0.719514559,0.906582708,0.816250058,0.973674597,0.731192906,0.897799026,0.962636162,0.917607656,0.727249732,0.946003899,0.543566421,0.818869413,0.461785324,0.911758109,0.958806624,0.82239911,0.561683046,0.925815431,0.895596604,0.935792662,0.942860074,0.987201207,0.993868371,0.668271924,0.998919321,0.771432261,0.867816452,0.985789292,0.933561124,0.956957552,0.511664722,0.873350069,0.964060167,0.873434091,0.99429344,0.915038635,0.955951855,0.980256165,0.999276253,0.842776433,0.97491596,0.97543796,0.504302666,0.8926189,0.999843896,0.640050197,0.99047283,0.920638,0.980280778,0.635791667,0.577526654,0.918098341,1,0.91006514,0.118347404,0.639930342,0.041054656,0.62237554,0.405361273,0.2210557,0.608724222,0.101232101,0.470388869,0.999692487,0.556209728,0.512634874,0.876809785,0.699720859,0.673278485,0.935361064,0.988159167,0.979454933,0.881302956,0.998356103,0.999185227,0.915419947,0.446698212,0.41761658,0.855775183
Bolinichthys_distofax,0.859507251,0.551789812,0.018370896,0.071305842,0.998921775,1,0.251132137,0.757197153,0.646123191,0.873342229,0.65430751,0.720133161,0.73859846,0.875784586,0.984621812,0.121522952,0.996704674,1,0.642896567,0.878706399,0,0.837969702,0.941883659,0.239830202,0.485810708,0.648571644,0.305601715,0.932166155,0.933871098,0.706864277,0.840469837,0.32562065,0.119690337,0.719826295,0.822699337,0.636439619,0.256718199,0.604870883,0.994676263,0.699628683,0.084553945,0.025527613,0.917158607,0.993254353,0.745350154,0.819666828,0.123286711,0.613840626,0.60181741,0.92907045,0.664760805,0.874932611,0.393690252,0.661545097,0.315577912,0.47690214,0.718608756,0.999117203,0.468438983,0.492461107,0,0.006058278,0.005264259,0.891975309,0.010059432,0.191562776,0.34653024,0.400947103,0.006273923,6.96E-06,7.68E-06,6.26E-05,0,0.014639969,0.013273501,0.214155012,0.129478538,0.096194356,0.454370856,0.375107658,0.757042159,0.979385681,0.425133391,0.000411073,0.990875519,0.199289719,0.961662354,0.155129652,0.736149437,0.135997897,0.778613402,0.110133594,0.948561917,0.225591676,0.032901858,0.983900749,0.729808612,0.17614831,0,0.269509298,0.15912599,0.028701008,0.587638026,0.926343738,0.568472632,0.075088255,0.350396554,0.385094884,0.744709957,0.992775891,0.594279639,0.584758044,0.163715025,0.366782339,0.294511171,0.499925872,0.998672435,0.128216485,0.962086905,0.149442018,0.346242611,0.959667637,0.562493213,0.696340778,0.644175536,0.999622621,0.927994771,0.339995326,0.013505515,0.981265836,0.76270958,0.36099655,0.54207774,0.364956149,0.12090355,0.69696542,0.554275163,0.903304536,0.349,0.272710937,0.14026955,1,0.404811935,0.002176251,0.001792665,6.97E-06,0.259194917,0.015130703,0.00332902,0.062891112,0.0003478,0.140117731,0.46470834,0.227087808,0.191703472,0.273660305,0.122454339,0.403715391,0.764171923,0.587038458,0.751098442,0.263542506,0.996051,0.59797698,0.582032724,0.050344444,0.109022691,0.451015678
Bolinichthys_indicus,0.382310357,0.319880774,0.644617,0.001202749,0.924038879,0.251132137,1,0.219379433,0.001782843,0.654289537,0.187563001,0.994245184,0.191150666,0.016967126,0.886223265,0.991765927,0.708129441,0.985002047,0.25467964,0.372651797,0.293630856,0.769642432,0.793071007,0.245895868,0.522845677,0.214479792,0.865594568,0.96916714,0.604109012,0.189080895,0.613040583,0.925645305,0.452480533,0.23326815,0.585317278,0.212936365,0.521076349,0.845010966,0.940894012,0.27410908,0.447832384,0,0.509447794,0.907244836,0.235586997,0.600516834,0.993760297,0.205400517,0.357927244,0.051898239,0.217113717,0.638558486,0.999069244,0.493857254,0,0.356568532,0.996125866,0.97059668,0.000995253,0.429202346,0.01080607,0.183695911,0.387154326,0.923397418,0.25950492,0.544273331,0.994954918,0.002812358,0.188014738,0.045612472,0.115386683,0.037288745,0.00396582,0.243472487,0.366279436,0.000392106,0.999911316,0.469578617,0.833910648,0.772678537,0.291742267,0.557257971,0.998905513,0.082868536,0.89784897,0.718437223,0.741131047,0.485606567,0.956060284,0.661168435,0.368405941,0.384513336,0.959068722,0.467734545,0.986897889,0.919340945,0.020263158,0.638479067,0,0,0.627379686,0.400381211,0.238405797,0.601708117,0.009928532,0.004675126,0.986060192,0.865794281,0.156070353,0.641014363,0.556884667,0.489416239,0.372266921,1,0.834396659,0.904104735,1,0.64384544,0.55783834,0.412874414,0.923657786,0.785330719,0.106170841,0.262229597,0.120017495,0.836519253,0.623670497,0.524611174,0.945493678,0.784011143,0.282047053,0.477949038,0.810702002,0.999602645,0.000107565,0.978369795,0.753520395,0.030550756,0,0,0.409848934,0.982149075,0.000455278,0.137493332,0.842296661,0.03630954,0,0.303300862,0.141157928,0.347318475,0.099123099,0,0.513158461,0,0,0.495861471,0.48069275,0,0.221865855,0.939061406,0.55153981,0.955119688,0.970004093,0.72802082,0.389555804,0,0,0.000187155
Bolinichthys_longipes,0.985832299,0.969041339,0.010743617,1,0.93820389,0.757197153,0.219379433,1,0.931937356,0.744525897,0.922440506,0.636817805,0.973458322,0.991272821,0.844505281,0.011647342,0.946109995,1,0.972403135,0.714909116,1,0.658728599,0.790605687,0.443940369,0.648175776,0.949092419,0.002287144,0.757494978,0.885886476,0.98398026,0.752537481,0.066977071,0.226337881,0.97397072,0.771197614,0.976694743,0.350144103,0.505271536,0.876163262,0.941052225,0.170157227,1,0.922909485,0.879236526,0.949720185,0.718544586,0.01302275,0.974341942,0.95162452,0.99667319,0.955918474,0.795874826,0.005914177,0.588582039,0.490115538,0.987602068,0.007102578,1,0.994736641,0.897523006,0,0.009890333,0.069140208,0.855590129,0.018199397,0.357984995,0.00798298,0.991893792,0.022570765,0.000619678,0.000606773,0.001227838,0,0.02728789,0.020423997,1,0.013267116,0.236567953,0.381645755,0.277705517,0.955526362,0.779880426,0.004241135,0.001707152,0.949988733,0.266884912,0.920176629,0.202675205,0.02681667,0.069873177,0.755347049,0.318763674,0.847674435,0.30247494,0.014748331,0.852684672,0.981172249,0.18397515,0.392592593,0.400932739,0.2130484,0.033627959,0.926483782,0.851663446,0.990542218,0.995372579,0.001659751,0.286441677,0.93272374,0.970859124,0.656812648,0.694809057,0.269019555,0.008489331,0.002204141,0.408211993,0.917323911,0.231720521,0.815628101,0.16850695,0.002591303,0.912510248,0.987146961,0.972301236,0.993679837,0.999990411,0.742718377,0.456103978,0.015415658,0.813681541,0.930850853,0.319293485,0.380384805,0.002384129,0.986518465,0.010726888,0.535156192,0.989265659,0.5295,0.567603722,0.229339455,1,0.756951741,0.001422608,0.001485351,0.00114273,0.499056932,0.051503259,0.043242298,0.173223714,0.002005402,0.315762873,0.512377379,0.431787745,0.368004696,0.371882965,0.167777227,0.571208535,0.98729651,0.06030486,0.680761656,0.00803729,0.999961644,0.468673286,0.662525079,0.278721035,0.241665178,0.939851139
Bolinichthys_nikolayi,0.92791722,0.53588408,0.001380829,0,1,0.646123191,0.001782843,0.931937356,1,0.78969447,0.450482416,1,0.640984409,0.12530588,0.995088443,0.00138994,0.999982521,1,0.591886318,0.976683213,0,0.956460183,0.994476683,0.740893519,0.909442075,0.314706705,0,1,0.828847095,0.426169335,0.617020905,0.001380829,0.356026708,0.459431588,0.733028036,0.511431168,0.664738167,0.999230931,1,0.341921275,0.312382018,0,0.969114871,1,0.809130952,0.599542054,0.001384653,0.440362162,0.461861148,0.53177655,0.408533175,0.83257009,0,0.990229323,0,0.392382717,0,1,0.009148676,0.480965532,0.001922674,0.051510173,0.105117807,0.87210725,0.095888974,0.496451793,0.001380829,0.007609909,0.077116689,0.005698105,0.006624484,0.00426484,0.000244704,0.070911697,0.0836363,0.025552215,0.001401206,0.352426064,0.950709641,0.010732014,0.922271551,0.995368105,0,0.007463469,0.981699643,0.5009089,0.937513109,0.384324967,0,0.166084038,0.999930085,0.237839222,1,0.466300776,0.001781526,0.999615465,0.208755981,0.403813885,0.237621832,0,0.244039712,0.119188282,0.283122422,0.801929665,0.079449651,0,0,0.711948542,0.654880095,0.872614137,0.370044746,0.469481927,0.450814514,0.001101168,0,0.84929735,1,0.439960148,0.964919947,0.307889953,0,0.953646088,0.307068447,0.481070405,0.284538209,0.997168426,0.720740404,0.717087324,0.00212537,1,0.758634552,0.829843389,0.973309795,0,0,0,0.235108019,0.464360624,0,0,0.26566105,1,0,0.004894078,0,0.004439628,0,0.134359924,0.089019786,0.333111935,0.006257429,0,0.962123331,0,0,0.60431378,0.26459484,0,0.857459973,0,0.68658673,0.001380829,1,0.141456338,0.261798224,0,0,0.021831084
Bolinichthys_photothorax,0.759503097,0.888440259,0.413336547,0.340893471,0.995094045,0.873342229,0.654289537,0.744525897,0.78969447,1,0.793679037,0.838712362,0.879693008,0.711071623,0.952114379,0.75464926,0.974918307,0.999969338,0.927065428,0.715447797,0.405792818,0.859387457,0.924478961,0.362863638,0.737867099,0.921714027,0.62057536,0.871770612,0.958128554,0.923242934,0.886731291,0.682913877,0.226983638,0.994327291,0.94544681,0.933321973,0.414620123,0.652627752,0.974725573,0.970149973,0.153818803,0.199797801,0.809018196,0.975527171,0.804373904,0.932112099,0.757878501,0.893134109,0.946454471,0.855596869,0.940311011,0.966280323,0.988035912,0.836332961,0.039340157,0.871388618,0.999913908,0.999969338,0.714285714,0.87788891,4.70E-05,0.010098847,0.051221903,0.874302435,0.021462492,0.385457212,0.728842063,0.668555358,0.019077986,0.000800707,2.30E-05,0.00136861,0,0.029098124,0.023223385,0.516762515,0.771940404,0.224699393,0.592309671,0.775605083,0.740418627,0.828900453,0.864843352,0.002287062,0.990941505,0.55083586,0.997950012,0.240492041,0.957616925,0.330762408,0.69660175,0.243867244,0.978733563,0.340017894,0.682775573,0.931010013,0.885239234,0.328854443,0.16042885,0.020740397,0.331158028,0.110941786,0.883281573,0.947112057,0.782556597,0.423432879,0.716224592,0.542734808,0.76027546,0.965347315,0.82101581,0.964835275,0.24969559,0.805609923,0.598054156,0.621707097,0.992325685,0.407105093,0.848204508,0.189060318,0.698953357,0.986775824,0.800600203,0.935059348,0.775010935,0.999938676,0.928241653,0.543933717,0.5826742,0.918955382,0.911443949,0.342172812,0.605670758,0.837013595,0.461312298,0.981545519,0.810201838,0.945529158,0.124791667,0.081240267,0.195053318,0.999969338,0.095047979,0.004233951,0.207385782,0.000919758,0.07941629,0.057348097,0.016147367,0.113900838,0.002183002,0.010702818,0.622251607,0.021149716,0.023788226,0.422760596,0.205693875,0.14777039,0.781244499,0.942396851,0.95092068,0.655616301,1,0.710250898,0.672566732,0.017570106,0.003716277,0.427131772
