Species,Min Depth (m),Max Depth (m),n
Benthosema fibulatum,15.5,630,336
Benthosema glaciale,19,1000,2759
Benthosema pterotum,25,1154,208
Benthosema suborbitale,20.925,800,2058
Bolinichthys distofax ,125,1853.7,57
Bolinichthys indicus ,30,850,2026
Bolinichthys longipes ,60,1280,1435
Bolinichthys nikolayi,102.7,1347.5,43
Bolinichthys photothorax ,30,1325.85,924
Bolinichthys pyrsobolus ,94.875,1179.75,98
Bolinichthys supralateralis ,38.875,1239,832
Centrobranchus andreae,0,886.325,40
Centrobranchus choerocephalus,0,600,23
Centrobranchus nigroocellatus,0,590.2,1178
Ceratoscopelus maderensis,16.138,874.5,2027
Ceratoscopelus townsendi,0,1676,465
Ceratoscopelus warmingii,28,1250,4556
Diaphus adenomus,113.025,648.05,65
Diaphus aliciae ,32.5,1116.5,104
Diaphus anderseni ,37.5,1233.695,151
Diaphus antonbruuni,0,1915,19
Diaphus arabicus ,71.3,750,189
Diaphus bertelseni,43.625,1935,104
Diaphus brachycephalus,22.5,922,1037
Diaphus burtoni ,315.2,1721.4,5
Diaphus chrysorhynchus,16.5,425.5,111
Diaphus coeruleus,136.875,871.125,14
Diaphus danae ,35,500,157
Diaphus diadematus ,38.625,1278.5,108
Diaphus diademophilus ,137.5,1275,586
Diaphus dumerilii,0.125,654.5,1823
Diaphus effulgens,41,850,861
Diaphus fragilis,30,1095,771
Diaphus fulgens,60,1500,606
Diaphus garmani,22,800,562
Diaphus gigas,67.75,674.05,7
Diaphus holti,25,650,695
Diaphus hudsoni ,50,1477.5,377
Diaphus impostor ,0,375,50
Diaphus jenseni ,60,1500,321
Diaphus kapalae ,33.5,899.9,23
Diaphus knappi ,191,866.75,11
Diaphus lobatus,25.25,695.375,26
Diaphus lucidus,42,1202.5,856
Diaphus luetkeni,32.5,1250,1394
Diaphus malayanus,70,1406,409
Diaphus mascarensis,205.7,588.5,39
Diaphus meadi ,16.475,1681,360
Diaphus megalops,0,1129,12
Diaphus metopoclampus,88.5,1000,638
Diaphus minax ,52.7,627.25,18
Diaphus mollis,26.85,846.95,2448
Diaphus nielseni ,196.25,1263,78
Diaphus ostenfeldi ,41.375,1645,152
Diaphus pacificus,0,740,33
Diaphus parri ,70,1500,613
Diaphus perspicillatus,22.3,1100,727
Diaphus phillipsi ,0,831.4,75
Diaphus problematicus,29.7,1099.6,697
Diaphus rafinesquii,27.5,750,1171
Diaphus regani ,70,1500,460
Diaphus richardsoni ,0,2032,45
Diaphus roei ,310.5,558.06,13
Diaphus schmidti ,17.4,1350,209
Diaphus signatus,55.5,1249,403
Diaphus similis ,153.7,463.1,5
Diaphus splendidus,35.5,1266,1365
Diaphus suborbitalis,199,1025,259
Diaphus subtilis ,42.6,816.8,173
Diaphus taaningi,24.4,650,133
Diaphus termophilus,39.5,1000,505
Diaphus theta,0,750,917
Diaphus thiollierei ,75,1210,127
Diaphus trachops ,111,324.5,6
Diaphus umbroculus,210,311.08,5
Diaphus vanhoeffeni,25.45,414,159
Diaphus watasei,50,807.5,151
Diaphus whitleyi,164.7,620.4,13
Diaphus wisneri ,52.5,240,6
Diogenichthys atlanticus,25,1161,3019
Diogenichthys laternatus,0,2060.952,260
Diogenichthys panurgus,50,1037.5,250
Electrona antarctica,60,980,5317
Electrona carlsbergi,73.5,2077,348
Electrona paucirastra,0.5,2273.5,123
Electrona risso,83,1522.5,532
Electrona subaspera,0,1477.5,284
Gonichthys barnesi,0.125,1430,221
Gonichthys cocco,0,514.5,2274
Gonichthys tenuiculus,0,3279.04,44
Gonichthys venetus,0.125,1100.5,22
Gymnoscopelus bolini,50,1676.15,230
Gymnoscopelus braueri,55,2562,1120
Gymnoscopelus fraseri,38.625,2263.75,230
Gymnoscopelus hintonoides,278.5,2275,43
Gymnoscopelus microlampas,14.4,820,130
Gymnoscopelus nicholsi,190,525,2524
Gymnoscopelus opisthopterus,725.35,1820.55,1562
Gymnoscopelus piabilis,40.8,1528.6,93
Hintonia candens,76.75,2131.25,68
Hygophum atratum,0,2227.48,81
Hygophum benoiti,0.125,1000,1264
Hygophum bruuni,146.6,3247.8,17
Hygophum hanseni,2.1375,1559.9,275
Hygophum hygomii,0.125,875,2241
Hygophum macrochir,0.125,955.375,648
Hygophum proximum,15.225,1361,1210
Hygophum reinhardtii,0.125,875,1370
Hygophum taaningi,30,1022.9485,1102
Idiolychnus urolampus ,107.5,539,3968
Krefftichthys anderssoni,34.1,2745.75,958
Lampadena anomala ,75,1995,103
Lampadena chavesi,30,801.95,178
Lampadena dea ,20.5,2045,43
Lampadena luminosa,30.975,1130.25,614
Lampadena notialis ,50,2000,112
Lampadena pontifex ,62.875,621.775,62
Lampadena speculigera ,50,1978.875,514
Lampadena urophaos ,50.5,1515,546
Lampadena yaquinae,59.5,2271.55,18
Lampanyctodes hectoris,70.125,501.425,1102
Lampanyctus acanthurus,70,535,1096
Lampanyctus alatus,25,937.5,1871
Lampanyctus australis,37.5,2000,512
Lampanyctus crocodilus,25,1000,1191
Lampanyctus festivus,45,1450,883
Lampanyctus hubbsi,76.5,1338,627
Lampanyctus intricarius,30,2000,409
Lampanyctus jordani,74.6,737.6,85
Lampanyctus lepidolychnus,50,2000,230
Lampanyctus macdonaldi,70,2005,477
Lampanyctus macropterus,60.5,1435,289
Lampanyctus nobilis,30,1500,996
Lampanyctus omostigma,45.5,1290.5,58
Lampanyctus parvicauda,0,2217.5,41
Lampanyctus photonotus,30,902.05,1594
Lampanyctus pusillus,27.5,924.65,2528
Lampanyctus simulator,103,564.35,7
Lampanyctus steinbecki,75,1288,533
Lampanyctus tenuiformis,40.4,1366,445
Lampanyctus turneri,131.875,1915,58
Lampichthys procerus ,45.5,2247.8,303
Lepidophanes gaussi ,25,955,1289
Lepidophanes guentheri ,22,939.5,2205
Lobianchia dofleini ,26,817,2441
Lobianchia gemellarii,34.75,1055.25,1616
Loweina interrupta,66.125,1852.5,70
Loweina rara,8.81875,1061,254
Loweina terminata,82.5,565,5
Metelectrona ahlstromi,70,1900,9
Metelectrona herwigi,98,1650,5
Metelectrona ventralis,48.8,1675,197
Myctophum affine,0.125,1606.575,1054
Myctophum asperum,0.125,1050,917
Myctophum aurolaternatum,0.0875,1763.14,295
Myctophum brachygnathum,0,1115.3,30
Myctophum fissunovi,0.125,416.4,5
Myctophum nitidulum,0,1005,1416
Myctophum obtusirostre,0.125,1152.53775,760
Myctophum orientale,362.6,743.25,7
Myctophum phengodes,0.125,1450,368
Myctophum punctatum,0,850,1181
Myctophum selenops,37.5,972,461
Myctophum spinosum,0,1245,231
Nannobrachium achirus,0,1551,619
Nannobrachium atrum,47.5,1457.85,682
Nannobrachium bristori,140,1200,21
Nannobrachium crypticum,0,590,57
Nannobrachium cuprarium,64,1075,1468
Nannobrachium fernae,81.25,2250,26
Nannobrachium gibbsi,152.5,299.125,6
Nannobrachium hawaiiensis,159.425,2563.7,10
Nannobrachium idostigma,0,2716.4,49
Nannobrachium indicum,75,775.5,87
Nannobrachium isaacsi,35,2191.577,162
Nannobrachium lineatum,30,1554.125,638
Nannobrachium nigrum,100,3000,165
Nannobrachium phyllisae,100,3500,18
Nannobrachium regale,0,1358.08,289
Nannobrachium ritteri,0,870.2,697
